Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,foo,foo,21,268,63898,3273,21932,true
warmup,5,1,5600405384,foo,foo,21,268,78244,4137,23889,true
warmup,5,2,1632819610,foo,foo,21,268,430584,17783,23986,true
warmup,5,3,1412034944,foo,foo,21,268,41688,2484,22975,true
warmup,5,4,9724161943,foo,foo,21,268,579872,23223,23973,true
warmup,5,5,4037724866,foo,foo,21,268,77422,4187,22738,true
warmup,5,6,8370032799,foo,foo,21,268,73102,3654,23846,true
warmup,5,7,2767986875,foo,foo,21,268,55704,3016,22597,true
warmup,5,8,3141506592,foo,foo,21,268,841,141,21381,true
warmup,5,9,3313543896,foo,foo,21,268,339577,14313,23581,true
warmup,5,10,8657690939,foo,foo,21,268,238586,10706,23675,true
warmup,5,11,9696640194,foo,foo,21,268,29172,1844,23036,true
warmup,5,12,6621545651,foo,foo,21,268,47784,2750,22385,true
warmup,5,13,2492462788,foo,foo,21,268,101642,5087,22480,true
warmup,5,14,3404588599,foo,foo,21,268,305294,13081,23582,true
warmup,5,15,2330977742,foo,foo,21,268,540192,21722,23894,true
warmup,5,16,6361187489,foo,foo,21,268,63853,3391,22694,true
warmup,5,17,2805026820,foo,foo,21,268,35397,2016,22533,true
warmup,5,18,4323456912,foo,foo,21,268,88564,4751,22347,true
warmup,5,19,8361101999,foo,foo,21,268,235420,10345,22924,true
warmup,5,20,9935136846,foo,foo,21,268,525379,21566,24363,true
warmup,5,21,5217407358,foo,foo,21,268,187384,8596,22850,true
warmup,5,22,5619256299,foo,foo,21,268,91967,4627,23050,true
warmup,5,23,4560422870,foo,foo,21,268,15778,1062,22879,true
warmup,5,24,5236888092,foo,foo,21,268,85075,4377,22934,true
warmup,5,25,1337360711,foo,foo,21,268,51540,2656,22050,true
warmup,5,26,7659837985,foo,foo,21,268,48061,2734,23645,true
warmup,5,27,2521100877,foo,foo,21,268,38727,2281,21238,true
warmup,5,28,8801535107,foo,foo,21,268,96686,4953,24222,true
warmup,5,29,9651599436,foo,foo,21,268,83150,4253,22692,true
anchors,5,1,2967301147,k$,k$,21,355,10729,829,23362,true
anchors,5,1,5600405384,k$,k$,21,355,134135,6892,25054,true
anchors,5,2,1632819610,k$,k$,21,355,27111,1891,26002,true
anchors,5,3,1412034944,k$,k$,21,355,2578,297,21272,true
anchors,5,4,9724161943,k$,k$,21,355,166892,7704,22613,true
anchors,5,5,4037724866,k$,k$,21,355,297016,12940,24128,true
anchors,5,6,8370032799,k$,k$,21,355,482617,19459,23631,true
anchors,5,7,2767986875,k$,k$,21,355,34327,2266,24289,true
anchors,5,8,3141506592,[paMR],[paMR],12,225,91578,4953,25618,true
anchors,5,9,3313543896,k$,k$,21,355,11687,844,25474,true
anchors,5,10,8657690939,k$,k$,21,355,93878,4794,25643,true
anchors,5,11,9696640194,k$,k$,21,355,69363,3657,20565,true
anchors,5,12,6621545651,k$,k$,21,355,5833,531,18535,true
anchors,5,13,2492462788,k$,k$,21,355,16267,1219,25645,true
anchors,5,14,3404588599,k$,k$,21,355,109174,5192,23318,true
anchors,5,15,2330977742,k$,k$,21,355,569044,22174,23494,true
anchors,5,16,6361187489,k$,k$,21,355,146760,7125,20871,true
anchors,5,17,2805026820,k$,k$,21,355,56052,3094,24395,true
anchors,5,18,4323456912,k$,k$,21,355,24959,1735,25902,true
anchors,5,19,8361101999,[ijk]$,[ijk]$,21,355,1852,235,20178,true
anchors,5,20,9935136846,k$,k$,21,355,4962,453,23832,true
anchors,5,21,5217407358,k$,k$,21,355,46177,2592,19673,true
anchors,5,22,5619256299,k$,k$,21,355,212336,9472,25037,true
anchors,5,23,4560422870,k$,k$,21,355,9824,735,25146,true
anchors,5,24,5236888092,k$,k$,21,355,67198,3844,26131,true
anchors,5,25,1337360711,k$,k$,21,355,66579,3545,24287,true
anchors,5,26,7659837985,k$,k$,21,355,110249,5218,25441,true
anchors,5,27,2521100877,k$,k$,21,355,56928,3329,24957,true
anchors,5,28,8801535107,k\b,k\b,21,355,3757,391,19630,true
anchors,5,29,9651599436,k$,k$,21,355,183812,8142,24633,true
ranges,5,1,2967301147,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,40229,2282,20213,true
ranges,5,1,5600405384,^[a-f]*?$,^[a-f]*?$,21,212,113015,5422,21567,true
ranges,5,2,1632819610,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,14955,1063,24100,true
ranges,5,3,1412034944,^[a-f]*?$,^[a-f]*?$,21,212,71849,3719,23425,true
ranges,5,4,9724161943,[a-f][a-e][dfbc],[a-f][a-e][dfbc],21,212,47757,2683,24375,true
ranges,5,5,4037724866,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,16230,1141,24116,true
ranges,5,6,8370032799,^[a-f]*?$,^[a-f]*?$,21,212,60008,3079,24112,true
ranges,5,7,2767986875,^[a-f]*?$,^[a-f]*?$,21,212,108917,5485,23351,true
ranges,5,8,3141506592,^[a-f]*?$,^[a-f]*?$,21,212,12883,969,24300,true
ranges,5,9,3313543896,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,60186,3222,20694,true
ranges,5,10,8657690939,^[a-f]*?$,^[a-f]*?$,21,212,51337,2782,24629,true
ranges,5,11,9696640194,[a-f][a-e][cdfb],[a-f][a-e][cdfb],21,212,13717,969,20834,true
ranges,5,12,6621545651,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,135532,6463,21295,true
ranges,5,13,2492462788,^[a-f]*?$,^[a-f]*?$,21,212,177617,8427,24836,true
ranges,5,14,3404588599,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,11936,875,24708,true
ranges,5,15,2330977742,^[a-f]*?$,^[a-f]*?$,21,212,229425,10360,24910,true
ranges,5,16,6361187489,^[a-f]*?$,^[a-f]*?$,21,212,382781,16221,24096,true
ranges,5,17,2805026820,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,6332,578,22846,true
ranges,5,18,4323456912,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,41629,2422,24709,true
ranges,5,19,8361101999,^[a-f]*?$,^[a-f]*?$,21,212,223098,10079,25081,true
ranges,5,20,9935136846,^[a-f]*?$,^[a-f]*?$,21,212,70359,3672,24764,true
ranges,5,21,5217407358,^[a-f]*?$,^[a-f]*?$,21,212,172378,7923,23275,true
ranges,5,22,5619256299,^[a-f]*?$,^[a-f]*?$,21,212,114504,5719,25394,true
ranges,5,23,4560422870,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,404043,17446,25479,true
ranges,5,24,5236888092,^[a-f][a-e][^n],^[a-f][a-e][n],21,208,35302,1984,19424,true
ranges,5,25,1337360711,^[a-f]*?$,^[a-f]*?$,21,212,56087,3060,24735,true
ranges,5,26,7659837985,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,80003,4002,21035,true
ranges,5,27,2521100877,[a-f][a-e].[a-f],[a-f][a-e].[a-f],21,212,2765,344,24455,true
ranges,5,28,8801535107,^[a-f]*?$,^[a-f]*?$,21,212,120341,5859,24865,true
ranges,5,29,9651599436,^[a-f]*?$,^[a-f]*?$,21,212,17262,1188,24816,true
backrefs,5,1,2967301147,[oeg][vmatcor]\B,[oeg][vmatcor]\B,15,330,412781,19551,27974,true
backrefs,5,1,5600405384,[crano][ovtlyp],[crano][ovtlyp],20,344,281124,13269,31148,true
backrefs,5,2,1632819610,[nuaeiory]\w$,[nuaeiory]\w$,19,321,33975,2313,25472,true
backrefs,5,3,1412034944,[uenoaryi]\w$,[uenoaryi]\w$,19,321,251946,12142,27362,true
backrefs,5,4,9724161943,[tesuf]\w[daelpr],[tesuf]\w[daelpr],16,338,424151,20473,28145,true
backrefs,5,5,4037724866,[tmfvpo][[d-y][d-s]]?,[tmfvpo][[d-y][d-s]]?,18,353,112657,6502,27474,true
backrefs,5,6,8370032799,[eog][ctvaom]\B,[eog][ctvaom]\B,13,328,66161,3844,28159,true
backrefs,5,7,2767986875,[unoaryei][\w]$,[unoaryei][\w]$,19,321,2987,359,24304,true
backrefs,5,8,3141506592,[a-p][tuv][d-y][d-s],[a-p][tuv][d-y][d-s],13,319,35743,2359,24754,true
backrefs,5,9,3313543896,[onuaryei]\w$,[onuaryei]\w$,19,321,52847,3874,27051,true
backrefs,5,10,8657690939,[eoh][mcaov],[eoh][mcaov],11,332,223717,10954,26739,true
backrefs,5,11,9696640194,[a-p][tuv][d-y][d-s],[a-p][tuv][d-y][d-s],13,319,7339,672,25331,true
backrefs,5,12,6621545651,[rnouayei]\w$,[rnouayei]\w$,19,321,212207,11111,26707,true
backrefs,5,13,2492462788,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,26767,1844,27304,true
backrefs,5,14,3404588599,[onuaryei]\w$,[onuaryei]\w$,19,321,205729,9876,26847,true
backrefs,5,15,2330977742,[eunoaryi]\w$,[eunoaryi]\w$,19,321,491823,23161,27754,true
backrefs,5,16,6361187489,[onayurei][\w]\b,[onayurei][\w]\b,19,321,36174,2394,24912,true
backrefs,5,17,2805026820,[tuv][d-y][d-s],[tuv][d-y][d-s],14,317,98150,5328,25300,true
backrefs,5,18,4323456912,[mhtogali]\w[ne]\B,[mhtogali]\w[ne]\B,14,344,112991,6579,25194,true
backrefs,5,19,8361101999,[e-u][[e-n][l-t]+?[b-o]]?,[e-u][[e-n][l-t]+?[b-o]]?,15,335,154278,8407,27066,true
backrefs,5,20,9935136846,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,136376,7517,26536,true
backrefs,5,21,5217407358,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,104298,5548,26581,true
backrefs,5,22,5619256299,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,70998,4076,24799,true
backrefs,5,23,4560422870,[[b-r][a-o][tuv][d-y]]?,[[b-r][a-o][tuv][d-y]]?,12,330,59188,3689,25084,true
backrefs,5,24,5236888092,[b-r][a-o][tuv][d-y],[b-r][a-o][tuv][d-y],12,330,343196,16333,27553,true
backrefs,5,25,1337360711,[rnouayei]\w$,[rnouayei]\w$,19,321,263704,12799,26551,true
backrefs,5,26,7659837985,[tfvmpo][d-y][d-s],[tfvmpo][d-y][d-s],18,353,15872,1234,25174,true
backrefs,5,27,2521100877,[clgtxaum]\b,[clgtxaum]\b,13,314,21360,1391,23908,true
backrefs,5,28,8801535107,[rnouayei]\w$,[rnouayei]\w$,19,321,64350,3781,25457,true
backrefs,5,29,9651599436,[uoranyei]\w$,[uoranyei]\w$,19,321,17548,1313,23035,true
powers,5,1,2967301147,^xxxx$,^xxxx$,1,2329,2536,297,21534,true
powers,5,1,5600405384,^xx$,^xx$,1,2327,157,63,20850,true
powers,5,2,1632819610,[],[],0,2325,455768,16174,20925,true
powers,5,3,1412034944,^xx$,^xx$,1,2327,120,63,20940,true
powers,5,4,9724161943,^[x]xxx$,^[x]xxx$,1,2329,1349,188,20911,true
powers,5,5,4037724866,^[x]xxx$,^[x]xxx$,1,2329,926,156,20893,true
powers,5,6,8370032799,^xxxx$,^xxxx$,1,2329,22501,1313,21079,true
powers,5,7,2767986875,^xxx[x][x]xxx$,^xxx[x][x]xxx$,1,2333,6028,563,21041,true
powers,5,8,3141506592,^xx$,^xx$,1,2327,3594,406,21565,true
powers,5,9,3313543896,^xxxx\b,^xxxx\b,1,2329,34,31,21333,true
powers,5,10,8657690939,^x[x]xx$,^x[x]xx$,1,2329,3737,406,20988,true
powers,5,11,9696640194,^xxxx$,^xxxx$,1,2329,0,16,21297,true
