Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
warmup,5,1,4105328976,[fg]oo,21,42,126482,20188,62144,true
abba,5,1,4105328976,[t-z]e|h|u[rst],13,35,314921,49803,60163,true
powers,5,1,4105328976,^x?x$,2,13,77349,53275,60198,true
order,5,1,4105328976,[st][t-z]\b|[o-r][o-y]\b|vvb[^]nfl,17,38,167815,38043,68545,true
warmup,5,1,6370951248,foo,21,42,98982,20020,60646,true
abba,5,1,6370951248,[^][tu]z|,13,35,312054,58409,60410,true
powers,5,1,6370951248,^x?x$,2,13,91923,30673,60082,true
order,5,1,6370951248,[st][t-z]\b|[o-r][o-y]\b,17,38,70329,14407,61347,true
warmup,5,2,9431657082,foo,21,42,146059,28892,60675,true
abba,5,2,9431657082,[f-t][t-z]h|,12,34,165636,30954,60769,true
powers,5,2,9431657082,x*^(x*)\1\b$,6,17,14016,7969,66082,true
order,5,2,9431657082,t[o-z]\b|[o-r][o-y]\b|w[^]jp|[f-p]s|m$,17,38,194930,43346,62957,true
warmup,5,3,1874029365,foo,21,42,184697,34423,61175,true
abba,5,3,1874029365,[^c](h|z|u)|^p|^v|fuf\1,18,40,139474,30298,60769,true
powers,5,3,1874029365,^x?x$,2,13,124046,43892,61518,true
order,5,3,1874029365,[^ew]o[o-y]|[f-s]tt|[abc][c-h],19,40,131011,27579,61019,true
warmup,5,4,5691784320,foo|wg[^x]$,21,42,85621,17407,61113,true
abba,5,4,5691784320,[^c](h|z|u)|^p|^v|aex\1,18,40,122294,26563,61472,true
powers,5,4,5691784320,^xx[^]x$|\bxx?$,3,14,88607,36408,66503,true
order,5,4,5691784320,[^]ny[o-y]|h[f-o]y|[f-t][o-t][o-z]$,17,38,223816,45924,63207,true
warmup,5,5,8392760514,foo,21,42,5867,1719,61003,true
abba,5,5,8392760514,[t-z]e|h|u[rst],13,35,308785,55424,61285,true
powers,5,5,8392760514,^x?x$,2,13,24179,8438,60284,true
warmup,5,6,4612780539,foo,21,42,53016,10828,60175,true
order,5,5,8392760514,^[a-o][c-o][c-t][e-t],20,41,159018,30236,63614,true
abba,5,6,4612780539,hi[a-n]|[f-t][t-z],14,36,196582,36548,61129,true
warmup,5,7,8261384957,foo|lce$,21,42,55042,11376,62035,true
powers,5,6,4612780539,^x?x$,2,13,6921,2687,75051,true
order,5,6,4612780539,t[o-z]|o[o-y]|n^tap|ws|[st]t$,14,35,119801,25345,66176,true
abba,5,7,8261384957,[f-t][t-z]h|,12,34,185056,33486,61050,true
powers,5,7,8261384957,^x?x$,2,13,38783,37189,60363,true
warmup,5,8,2463075891,ls|foo,21,42,155122,30829,62707,true
abba,5,8,2463075891,st|z|u|[t-z]\b|[c-i]t,17,39,194358,36736,60019,true
order,5,7,8261384957,t[o-z]|o[o-y]|[a-d]e|ps|gl$,17,38,75197,16032,64941,true
warmup,5,9,9135874206,foo,21,42,251920,51174,60691,true
