Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,11,19,6087432195,38,99452,6759,39684,false
abba,11,20,4925731068,38,553650,36482,39582,false
abba,11,21,3486027915,39,151644,10254,39376,false
abba,11,22,6941372580,39,99123,6652,39584,false
abba,11,23,1068243795,38,312781,20887,40232,false
abba,11,24,1764028593,38,340587,22176,39409,false
abba,11,25,3857069214,38,324969,21478,40037,false
abba,11,26,9125784630,37,338226,22573,40424,false
abba,11,27,7914823056,38,320869,21513,40097,false
abba,11,28,1258360497,38,591280,38483,39094,false
abba,11,29,7965023841,39,208016,13787,40224,false
abba,13,1,4105328976,39,60464,4581,43270,false
abba,13,1,6370951248,38,318011,22730,42909,false
abba,13,2,9431657082,37,581750,41766,43230,false
abba,13,3,1874029365,39,392445,28084,42954,false
abba,13,4,5691784320,38,416075,28945,42194,false
abba,13,5,8392760514,38,464030,32972,42790,false
abba,13,6,4612780539,38,243129,17046,42596,false
abba,13,7,8261384957,38,486220,34457,42689,false
abba,13,8,2463075891,38,325077,22645,42925,false
abba,13,9,9135874206,37,432644,29919,41821,false
abba,13,10,7095231486,38,70841,5290,42742,false
abba,13,11,9842301657,38,546037,38331,42293,false
abba,13,12,2196735084,38,401850,27861,42240,false
abba,13,13,9067852413,39,427449,30006,41930,false
abba,13,14,2405681973,38,88152,6420,43524,false
abba,13,15,2738495106,37,120192,8648,42399,false
abba,13,16,1069782534,37,149647,10653,42803,false
abba,13,17,3018795246,38,555018,39562,42741,false
abba,13,18,1736058429,38,462364,31926,41987,false
abba,13,19,6087432195,38,316434,21837,42369,false
abba,13,20,4925731068,38,512462,36141,42562,false
abba,13,21,3486027915,38,429415,28849,40664,false
abba,13,22,6941372580,37,319237,22491,42883,false
abba,13,23,1068243795,38,145039,10490,41627,false
abba,13,24,1764028593,39,569617,40404,42511,false
abba,13,25,3857069214,38,35400,2811,42937,false
abba,13,26,9125784630,38,149887,10637,42537,false
abba,13,27,7914823056,39,263990,19095,43241,false
abba,13,28,1258360497,38,178177,12037,42882,false
abba,13,29,7965023841,38,555684,39327,42890,false
abba,15,1,4105328976,39,63155,4776,46139,false
abba,15,1,6370951248,38,463254,34794,44729,false
abba,15,2,9431657082,38,35609,2672,44000,false
abba,15,3,1874029365,39,110317,8471,45458,false
abba,15,4,5691784320,38,30412,2344,44975,false
abba,15,5,8392760514,38,554475,40920,44492,false
abba,15,6,4612780539,37,495014,37069,44963,false
abba,15,7,8261384957,38,303365,22054,43291,false
abba,15,8,2463075891,38,408604,31504,45815,false
abba,15,9,9135874206,38,352145,25676,44328,false
abba,15,10,7095231486,38,105555,8744,44340,false
abba,15,11,9842301657,38,592590,43214,43824,false
abba,15,12,2196735084,41,208502,15319,44482,false
abba,15,13,9067852413,38,76536,6337,46214,false
abba,15,14,2405681973,38,369504,29371,46808,false
abba,15,15,2738495106,40,144871,11080,44407,false
abba,15,16,1069782534,38,554568,42110,45731,false
abba,15,17,3018795246,36,430785,32451,45004,false
abba,15,18,1736058429,38,114962,8492,44995,false
abba,15,19,6087432195,38,488020,36241,45059,false
abba,15,20,4925731068,38,595022,44223,44523,false
abba,15,21,3486027915,38,197883,15174,44384,false
abba,15,22,6941372580,38,393610,29273,45235,false
abba,15,23,1068243795,37,479409,35799,44952,false
abba,15,24,1764028593,38,582726,44761,46000,false
abba,15,25,3857069214,37,302232,22093,43513,false
abba,15,26,9125784630,38,496381,37137,44681,false
abba,15,27,7914823056,38,23239,1870,44598,false
abba,15,28,1258360497,39,129502,10463,45852,false
abba,15,29,7965023841,39,552170,41008,44427,false
aman-aplan,5,1,4105328976,35,401505,26794,39840,false
aman-aplan,5,1,6370951248,35,96712,7386,41495,false
aman-aplan,5,2,9431657082,35,576247,39827,41435,false
aman-aplan,5,3,1874029365,34,15610,1015,41966,false
aman-aplan,5,4,5691784320,35,415210,27438,40122,false
aman-aplan,5,5,8392760514,35,290559,20194,41281,false
aman-aplan,5,6,4612780539,36,487764,33876,41320,false
aman-aplan,5,7,8261384957,35,76986,5400,41605,false
aman-aplan,5,8,2463075891,35,118632,9662,42532,false
aman-aplan,5,9,9135874206,35,302676,20935,41448,false
aman-aplan,5,10,7095231486,35,543461,37189,41103,false
aman-aplan,5,11,9842301657,35,157179,10581,38892,false
aman-aplan,5,12,2196735084,35,360911,24906,40586,false
aman-aplan,5,13,9067852413,35,523969,35862,40899,false
aman-aplan,5,14,2405681973,35,530157,36462,41301,false
aman-aplan,5,15,2738495106,35,309930,22087,42056,false
aman-aplan,5,16,1069782534,35,572026,38291,40385,false
aman-aplan,5,17,3018795246,36,370817,25478,40595,false
aman-aplan,5,18,1736058429,35,195017,13593,40191,false
aman-aplan,5,19,6087432195,35,590527,40510,41161,false
aman-aplan,5,20,4925731068,35,327187,23100,39700,false
aman-aplan,5,21,3486027915,35,289487,20037,40541,false
aman-aplan,5,22,6941372580,35,343702,23614,40699,false
aman-aplan,5,23,1068243795,35,22869,1926,41223,false
aman-aplan,5,24,1764028593,34,554077,37533,40864,false
aman-aplan,5,25,3857069214,35,18847,1654,41247,false
aman-aplan,5,26,9125784630,35,135890,8882,39728,false
aman-aplan,5,27,7914823056,35,179415,12417,40744,false
aman-aplan,5,28,1258360497,35,245163,16718,41626,false
aman-aplan,5,29,7965023841,35,400449,28496,41420,false
aman-aplan,7,1,4105328976,35,195331,15396,45200,false
aman-aplan,7,1,6370951248,33,597089,43686,43834,false
aman-aplan,7,2,9431657082,35,381584,28153,42903,false
aman-aplan,7,3,1874029365,36,581100,42823,44610,false
aman-aplan,7,4,5691784320,35,381328,27544,43434,false
aman-aplan,7,5,8392760514,34,387163,29916,45340,false
aman-aplan,7,6,4612780539,35,584368,42331,43362,false
aman-aplan,7,7,8261384957,35,156936,11111,43713,false
aman-aplan,7,8,2463075891,35,166291,12345,43909,false
aman-aplan,7,9,9135874206,35,208394,16252,44323,false
aman-aplan,7,10,7095231486,35,130855,10162,44047,false
