Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,11,19,6087432195,38,100280,6946,40592,false
abba,11,20,4925731068,38,554478,37176,40327,false
abba,11,21,3486027915,39,152472,10292,39165,false
abba,11,22,6941372580,39,99951,6929,40015,false
abba,11,23,1068243795,38,313609,21469,40709,false
abba,11,24,1764028593,38,341415,23085,40222,false
abba,11,25,3857069214,38,325797,22309,40220,false
abba,11,26,9125784630,37,339054,22913,40162,false
abba,11,27,7914823056,38,321697,21938,40188,false
abba,11,28,1258360497,38,592108,39191,39711,false
abba,11,29,7965023841,39,208844,14167,40207,false
abba,13,1,4105328976,39,61292,4558,43766,false
abba,13,1,6370951248,38,567243,40986,43417,false
abba,13,2,9431657082,37,582578,42440,43889,false
abba,13,3,1874029365,39,393273,28186,42642,false
abba,13,4,5691784320,38,416903,29366,42144,false
abba,13,5,8392760514,38,464858,33435,43028,false
abba,13,6,4612780539,38,243957,17746,43283,false
abba,13,7,8261384957,38,487048,35072,43212,false
abba,13,8,2463075891,38,325905,22967,42955,false
abba,13,9,9135874206,37,433472,30651,42468,false
abba,13,10,7095231486,38,71669,5614,42739,false
abba,13,11,9842301657,38,546865,38615,42520,false
abba,13,12,2196735084,38,402678,28101,42440,false
abba,13,13,9067852413,39,428277,30809,42770,false
abba,13,14,2405681973,38,88980,6472,42427,false
abba,13,15,2738495106,37,52024,3984,43217,false
abba,13,16,1069782534,37,150475,11055,42883,false
abba,13,17,3018795246,38,555846,40191,43300,false
abba,13,18,1736058429,38,463192,33088,43024,false
abba,13,19,6087432195,38,317262,22584,43131,false
abba,13,20,4925731068,38,559937,40169,43001,false
abba,13,21,3486027915,38,430243,29575,41400,false
abba,13,22,6941372580,37,320065,23145,43485,false
abba,13,23,1068243795,38,145867,10928,42570,false
abba,13,24,1764028593,39,570445,40165,42323,false
abba,13,25,3857069214,38,36228,2937,43272,false
abba,13,26,9125784630,38,150715,11112,43926,false
abba,13,27,7914823056,39,264818,18832,42274,false
abba,13,28,1258360497,38,179005,12370,42843,false
abba,13,29,7965023841,38,556512,40261,43752,false
abba,15,1,4105328976,39,63983,5027,45729,false
abba,15,1,6370951248,38,464082,35273,45101,false
abba,15,2,9431657082,38,36437,2829,45010,false
abba,15,3,1874029365,39,111145,8785,45763,false
abba,15,4,5691784320,38,31240,2506,45254,false
abba,15,5,8392760514,38,555303,41714,45239,false
abba,15,6,4612780539,37,495842,37811,45715,false
abba,15,7,8261384957,38,304193,22675,44051,false
abba,15,8,2463075891,38,409432,31611,45917,false
abba,15,9,9135874206,38,352973,26358,45248,false
abba,15,10,7095231486,38,485156,36007,44174,false
abba,15,11,9842301657,38,593418,44412,44958,false
abba,15,12,2196735084,41,209330,15514,44579,false
abba,15,13,9067852413,38,77364,6387,46590,false
abba,15,14,2405681973,38,370332,29353,46672,false
abba,15,15,2738495106,40,145699,11267,45240,false
abba,15,16,1069782534,38,555396,42609,46424,false
abba,15,17,3018795246,36,47913,3754,44928,false
abba,15,18,1736058429,38,115790,8755,46436,false
abba,15,19,6087432195,38,488848,36618,45509,false
abba,15,20,4925731068,38,595850,44813,45057,false
abba,15,21,3486027915,38,198711,15733,45469,false
abba,15,22,6941372580,38,394438,29590,45589,false
abba,15,23,1068243795,37,480237,36633,45887,false
abba,15,24,1764028593,38,583554,44917,46154,false
abba,15,25,3857069214,37,303060,22919,45010,false
abba,15,26,9125784630,38,497209,36900,44476,false
abba,15,27,7914823056,38,24067,1925,45184,false
abba,15,28,1258360497,39,130330,10380,45947,false
abba,15,29,7965023841,39,552998,41820,45187,false
aman-aplan,5,1,4105328976,35,405443,27474,40287,false
aman-aplan,5,1,6370951248,35,100650,7688,41608,false
aman-aplan,5,2,9431657082,35,580185,39072,40262,false
aman-aplan,5,3,1874029365,34,325841,22180,41815,false
aman-aplan,5,4,5691784320,35,419148,27905,40537,false
aman-aplan,5,5,8392760514,35,294497,20337,41201,false
aman-aplan,5,6,4612780539,36,491702,34222,41463,false
aman-aplan,5,7,8261384957,35,80924,5541,41538,false
aman-aplan,5,8,2463075891,35,122570,9539,42356,false
aman-aplan,5,9,9135874206,35,248203,17359,41243,false
aman-aplan,5,10,7095231486,35,547399,37642,41324,false
aman-aplan,5,11,9842301657,35,161117,10697,39020,false
aman-aplan,5,12,2196735084,35,364849,24870,40560,false
aman-aplan,5,13,9067852413,35,527907,36304,41083,false
aman-aplan,5,14,2405681973,35,283983,19748,41452,false
aman-aplan,5,15,2738495106,35,313868,22310,42083,false
aman-aplan,5,16,1069782534,35,575964,38624,40260,false
aman-aplan,5,17,3018795246,36,374755,25854,40584,false
aman-aplan,5,18,1736058429,35,435574,29516,41123,false
aman-aplan,5,19,6087432195,35,594465,40168,40558,false
aman-aplan,5,20,4925731068,35,331125,22743,39531,false
aman-aplan,5,21,3486027915,35,293425,20235,40996,false
aman-aplan,5,22,6941372580,35,347640,23565,40431,false
aman-aplan,5,23,1068243795,35,26807,2201,41142,false
aman-aplan,5,24,1764028593,34,558015,37524,40699,false
aman-aplan,5,25,3857069214,35,22785,1969,41177,false
aman-aplan,5,26,9125784630,35,139828,9138,39893,false
aman-aplan,5,27,7914823056,35,183353,12755,40892,false
aman-aplan,5,28,1258360497,35,249101,17755,42348,false
aman-aplan,5,29,7965023841,35,404387,28170,41342,false
aman-aplan,7,1,4105328976,35,199269,15457,44707,false
aman-aplan,7,1,6370951248,34,2948,325,44441,false
aman-aplan,7,2,9431657082,35,385522,28458,43226,false
aman-aplan,7,3,1874029365,36,585038,42971,44208,false
aman-aplan,7,4,5691784320,35,385266,27753,43690,false
aman-aplan,7,5,8392760514,34,391101,30235,45593,false
aman-aplan,7,6,4612780539,35,588306,42191,43034,false
aman-aplan,7,7,8261384957,35,160874,11373,43482,false
aman-aplan,7,8,2463075891,35,170229,12384,43652,false
aman-aplan,7,9,9135874206,35,212332,16397,44790,false
aman-aplan,7,10,7095231486,35,134793,10354,43924,false
aman-aplan,7,11,9842301657,35,247530,17294,42095,false
aman-aplan,7,12,2196735084,35,230930,16343,43008,false
aman-aplan,7,13,9067852413,35,253960,17849,42901,false
aman-aplan,7,14,2405681973,35,187787,13871,43374,false
aman-aplan,7,15,2738495106,34,347762,25699,43489,false
aman-aplan,7,16,1069782534,35,370568,26654,43122,false
aman-aplan,7,17,3018795246,35,573891,42072,44034,false
aman-aplan,7,18,1736058429,34,2948,333,44082,false
aman-aplan,7,19,6087432195,35,433827,30515,42514,false
aman-aplan,7,20,4925731068,35,63059,4927,44549,false
aman-aplan,7,21,3486027915,35,555554,41304,44086,false
aman-aplan,7,22,6941372580,34,218203,16378,44124,false
aman-aplan,7,23,1068243795,34,223885,17209,44704,false
aman-aplan,7,24,1764028593,34,179309,12473,44245,false
aman-aplan,7,25,3857069214,35,442242,30790,42522,false
aman-aplan,7,26,9125784630,35,200278,13944,42394,false
aman-aplan,7,27,7914823056,35,56437,4315,43319,false
aman-aplan,7,28,1258360497,34,2948,331,42906,false
aman-aplan,7,29,7965023841,35,277851,20157,43147,false
aman-aplan,9,1,4105328976,35,381671,29403,45090,false
aman-aplan,9,1,6370951248,35,137579,11398,45539,false
aman-aplan,9,2,9431657082,34,306763,24055,46769,false
aman-aplan,9,3,1874029365,34,335184,24717,44416,false
aman-aplan,9,4,5691784320,35,156360,12399,46105,false
aman-aplan,9,5,8392760514,35,172236,13802,47028,false
aman-aplan,9,6,4612780539,35,169810,13716,47195,false
aman-aplan,9,7,8261384957,35,62601,5116,45463,false
aman-aplan,9,8,2463075891,34,2948,334,46562,false
aman-aplan,9,9,9135874206,35,18988,1511,45805,false
aman-aplan,9,10,7095231486,34,434360,33369,47090,false
aman-aplan,9,11,9842301657,35,219668,16182,44703,false
aman-aplan,9,12,2196735084,35,574132,43109,44879,false
aman-aplan,9,13,9067852413,35,357353,28104,47258,false
aman-aplan,9,14,2405681973,35,385827,30340,47010,false
aman-aplan,9,15,2738495106,35,388455,29606,47381,false
aman-aplan,9,16,1069782534,36,297658,23284,47078,false
aman-aplan,9,17,3018795246,36,29440,2593,46404,false
aman-aplan,9,18,1736058429,35,91388,6774,47186,false
aman-aplan,9,19,6087432195,35,388462,30109,46578,false
aman-aplan,9,20,4925731068,35,53432,4680,48264,false
aman-aplan,9,21,3486027915,35,502964,38216,45511,false
aman-aplan,9,22,6941372580,34,2948,341,47359,false
aman-aplan,9,23,1068243795,35,567959,44151,46413,false
aman-aplan,9,24,1764028593,35,447317,35566,47567,false
