Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,11,19,6087432195,39,267865,24756,44537,false
abba,11,20,4925731068,40,300803,18861,40414,false
abba,11,21,3486027915,41,189344,14331,41105,false
abba,11,22,6941372580,39,399171,28983,43022,false
abba,11,23,1068243795,39,125893,8806,38773,false
abba,11,24,1764028593,40,235620,15229,40166,false
abba,11,25,3857069214,41,171729,11635,43648,false
abba,11,26,9125784630,39,271358,20384,42263,false
abba,11,27,7914823056,39,302750,22199,43714,false
abba,11,28,1258360497,39,564586,42322,45825,false
abba,11,29,7965023841,39,290696,22064,42579,false
abba,13,1,4105328976,40,252757,20414,44258,false
abba,13,1,6370951248,40,200986,16525,46733,false
abba,13,2,9431657082,40,509804,32997,39872,false
abba,13,3,1874029365,39,404640,25783,39749,false
abba,13,4,5691784320,40,524274,38806,43361,false
abba,13,5,8392760514,39,117406,8735,43003,false
abba,13,6,4612780539,39,76738,5024,39133,false
abba,13,7,8261384957,40,28681,2071,45039,false
abba,13,8,2463075891,40,451075,31598,41397,false
abba,13,9,9135874206,39,126621,8152,39079,false
abba,13,10,7095231486,39,547974,35023,38944,false
abba,13,11,9842301657,39,518205,33959,39389,false
abba,13,12,2196735084,40,240147,15999,41623,false
abba,13,13,9067852413,39,50975,3259,43124,false
abba,13,14,2405681973,40,213647,14975,40159,false
abba,13,15,2738495106,39,496272,35296,43051,false
abba,13,16,1069782534,40,555089,41092,44008,false
abba,13,17,3018795246,40,568800,39681,41356,false
abba,13,18,1736058429,41,584167,41725,42812,false
abba,13,19,6087432195,39,76800,5699,39024,false
abba,13,20,4925731068,40,308389,20518,41628,false
abba,13,21,3486027915,41,199897,16275,42493,false
abba,13,22,6941372580,39,386430,27923,42700,false
abba,13,23,1068243795,39,106769,8041,40616,false
abba,13,24,1764028593,40,239500,15562,39774,false
abba,13,25,3857069214,41,176531,12210,44235,false
abba,13,26,9125784630,41,189669,17124,46521,false
abba,13,27,7914823056,39,297614,22762,44522,false
abba,13,28,1258360497,41,348688,26525,45075,false
abba,13,29,7965023841,39,311147,23077,41754,false
abba,15,1,4105328976,40,240469,19006,44471,false
abba,15,1,6370951248,40,204718,15572,45742,false
abba,15,2,9431657082,40,551671,38555,42541,false
abba,15,3,1874029365,39,594797,39713,40180,false
abba,15,4,5691784320,40,529604,40064,44543,false
abba,15,5,8392760514,39,115646,7912,42480,false
abba,15,6,4612780539,40,108547,8230,42120,false
abba,15,7,8261384957,40,541434,41423,45604,false
abba,15,8,2463075891,40,459857,32633,41915,false
abba,15,9,9135874206,39,124722,7771,38868,false
abba,15,10,7095231486,39,552254,35616,39432,false
abba,15,11,9842301657,39,312756,23464,43208,false
abba,15,12,2196735084,40,239128,16124,41270,false
abba,15,13,9067852413,39,293973,19867,42876,false
abba,15,14,2405681973,40,215608,15624,40598,false
abba,15,15,2738495106,39,497092,35319,43137,false
abba,15,16,1069782534,41,416322,31095,42681,false
abba,15,17,3018795246,40,560778,39673,42041,false
abba,15,18,1736058429,41,582252,41579,42760,false
abba,15,19,6087432195,40,27324,2188,40750,false
abba,15,20,4925731068,40,306732,20776,42151,false
abba,15,21,3486027915,41,202407,17592,43377,false
abba,15,22,6941372580,40,125407,9739,42846,false
abba,15,23,1068243795,39,125266,8786,39033,false
abba,15,24,1764028593,40,235400,15496,40809,false
abba,15,25,3857069214,41,178981,12727,43958,false
abba,15,26,9125784630,41,148509,11943,44142,false
abba,15,27,7914823056,39,313138,24216,45263,false
abba,15,28,1258360497,41,363198,28860,46546,false
abba,15,29,7965023841,40,156313,13080,42929,false
aman-aplan,5,1,4105328976,36,155439,14440,55731,false
aman-aplan,5,1,6370951248,36,597295,52006,52261,false
aman-aplan,5,2,9431657082,35,237059,16670,44481,false
aman-aplan,5,3,1874029365,36,89071,7973,46616,false
aman-aplan,5,4,5691784320,37,430236,42690,60025,true
aman-aplan,5,5,8392760514,36,113992,13484,52677,false
aman-aplan,5,6,4612780539,36,99029,7747,54101,false
aman-aplan,5,7,8261384957,36,420679,36140,49632,false
aman-aplan,5,8,2463075891,36,359036,28403,49870,false
aman-aplan,5,9,9135874206,35,418182,43952,59591,false
aman-aplan,5,10,7095231486,35,278451,23949,53653,false
aman-aplan,5,11,9842301657,36,236826,19357,49309,false
aman-aplan,5,12,2196735084,36,478772,40222,50592,false
aman-aplan,5,13,9067852413,35,155193,16832,52583,false
aman-aplan,5,14,2405681973,36,184358,14936,45110,false
aman-aplan,5,15,2738495106,35,278356,24106,48678,false
aman-aplan,5,16,1069782534,35,551481,45117,50595,false
aman-aplan,5,17,3018795246,35,391269,31433,47525,false
aman-aplan,5,18,1736058429,36,454773,37446,49563,false
aman-aplan,5,19,6087432195,35,552616,45645,51204,false
aman-aplan,5,20,4925731068,35,258089,22390,50014,false
aman-aplan,5,21,3486027915,35,219148,19206,50966,false
aman-aplan,5,22,6941372580,35,463148,37875,47482,false
aman-aplan,5,23,1068243795,38,598181,50812,51094,false
aman-aplan,5,24,1764028593,36,519132,44137,49705,false
aman-aplan,5,25,3857069214,35,8768,882,50736,false
aman-aplan,5,26,9125784630,36,371544,31697,55815,false
aman-aplan,5,27,7914823056,37,391792,30141,47371,false
aman-aplan,5,28,1258360497,36,404107,32996,48315,false
aman-aplan,5,29,7965023841,36,268203,25072,51037,false
aman-aplan,7,1,4105328976,36,159172,14905,56019,false
aman-aplan,7,1,6370951248,35,273934,24080,58512,false
aman-aplan,7,2,9431657082,36,295245,24722,50781,false
aman-aplan,7,3,1874029365,36,268714,21850,47240,false
aman-aplan,7,4,5691784320,35,497129,46479,56490,false
aman-aplan,7,5,8392760514,37,95733,14018,60024,true
aman-aplan,7,6,4612780539,35,235428,22797,55935,false
aman-aplan,7,7,8261384957,36,463884,42324,53200,false
aman-aplan,7,8,2463075891,36,336408,30303,52986,false
aman-aplan,7,9,9135874206,36,277870,21474,46654,false
aman-aplan,7,10,7095231486,37,337166,31255,52995,false
aman-aplan,7,11,9842301657,36,174166,13854,47864,false
aman-aplan,7,12,2196735084,36,468668,38696,49923,false
aman-aplan,7,13,9067852413,36,352248,34103,58372,false
aman-aplan,7,14,2405681973,36,171175,16041,54968,false
aman-aplan,7,15,2738495106,36,591085,49118,50147,false
aman-aplan,7,16,1069782534,35,362981,29247,47187,false
aman-aplan,7,17,3018795246,35,445789,41190,52849,false
aman-aplan,7,18,1736058429,37,173161,12771,48522,false
aman-aplan,7,19,6087432195,36,276736,20697,48756,false
aman-aplan,7,20,4925731068,36,32746,3159,49815,false
aman-aplan,7,21,3486027915,36,74569,8955,51559,false
aman-aplan,7,22,6941372580,37,130884,14562,58363,false
aman-aplan,7,23,1068243795,38,594831,51671,52176,false
aman-aplan,7,24,1764028593,37,442523,43564,60014,true
aman-aplan,7,25,3857069214,35,335027,38153,60017,true
aman-aplan,7,26,9125784630,35,189583,16488,53036,false
aman-aplan,7,27,7914823056,37,386631,31905,49856,false
aman-aplan,7,28,1258360497,36,397940,33195,50938,false
aman-aplan,7,29,7965023841,35,475360,37295,48055,false
aman-aplan,9,1,4105328976,36,249394,18731,49072,false
aman-aplan,9,1,6370951248,35,259872,24139,60023,true
aman-aplan,9,2,9431657082,35,301200,24584,47053,false
aman-aplan,9,3,1874029365,36,92620,8390,47068,false
aman-aplan,9,4,5691784320,36,395491,33387,50121,false
aman-aplan,9,5,8392760514,35,504050,44512,52776,false
aman-aplan,9,6,4612780539,36,67241,6957,47292,false
aman-aplan,9,7,8261384957,39,212176,23452,60023,true
aman-aplan,9,8,2463075891,36,434477,36071,50352,false
aman-aplan,9,9,9135874206,35,139010,10870,49996,false
aman-aplan,9,10,7095231486,36,118936,9528,49776,false
aman-aplan,9,11,9842301657,36,237602,19979,49910,false
aman-aplan,9,12,2196735084,36,461539,38247,50287,false
aman-aplan,9,13,9067852413,36,265831,26316,57375,false
aman-aplan,9,14,2405681973,36,195316,15701,45665,false
aman-aplan,9,15,2738495106,36,242833,21463,52841,false
aman-aplan,9,16,1069782534,36,225096,18064,50404,false
aman-aplan,9,17,3018795246,35,448827,42131,53346,false
aman-aplan,9,18,1736058429,36,470973,37800,49334,false
aman-aplan,9,19,6087432195,35,557952,45542,50824,false
aman-aplan,9,20,4925731068,36,163549,14596,51327,false
aman-aplan,9,21,3486027915,35,470313,38854,49458,false
aman-aplan,9,22,6941372580,35,550261,49726,53318,false
aman-aplan,9,23,1068243795,37,484551,39323,51385,false
aman-aplan,9,24,1764028593,37,237013,22134,51682,false
aman-aplan,9,25,3857069214,35,239155,20193,51098,false
aman-aplan,9,26,9125784630,36,372025,32095,56327,false
aman-aplan,9,27,7914823056,37,504169,43388,54001,false
aman-aplan,9,28,1258360497,36,400238,32442,48143,false
aman-aplan,9,29,7965023841,36,260112,23212,49528,false
aman-aplan,11,1,4105328976,35,359534,29384,49156,false
aman-aplan,11,1,6370951248,35,230706,19333,56987,false
aman-aplan,11,2,9431657082,36,290597,23827,49974,false
aman-aplan,11,3,1874029365,36,440276,33933,45643,false
aman-aplan,11,4,5691784320,37,396284,34085,54960,false
aman-aplan,11,5,8392760514,36,524617,46803,54524,false
aman-aplan,11,6,4612780539,35,236689,22557,55449,false
aman-aplan,11,7,8261384957,36,478243,44623,54599,false
aman-aplan,11,8,2463075891,36,184651,14897,46431,false
aman-aplan,11,9,9135874206,35,150566,12271,50368,false
aman-aplan,11,10,7095231486,37,358086,29080,53819,false
aman-aplan,11,11,9842301657,36,222826,20123,51102,false
aman-aplan,11,12,2196735084,36,497869,46766,55984,false
