words,5,1,4105328976,oo|x|k[^]|^r|d$|et$,35,181878,-11733,34581,false,
words,5,1,6370951248,x|oo|^k|^t|^r|v|[^n]x|d$,36,410401,-27614,48344,false,
four,5,1,4105328976,f|pol|o[W-j]|W|vi|c[W-j]$,37,453355,-44003,55048,false,
abba,5,1,4105328976,z|it|ph|u|^p|t$,39,288417,-27257,60028,true,
ranges,5,1,6370951248,[^wi]d|^d|ba|f$,40,135743,-12089,38278,false,
words,5,2,9431657082,x|vic|^k|^t|rd|d$|^r,35,66951,-9145,60025,true,
abba,5,1,6370951248,ph|z|st|[^u]u|t$,40,139059,-10056,45860,false,
four,5,1,6370951248,f|W|vi|obW|o[^r]o|j|^v$,38,144882,-15249,51864,false,
ranges,5,2,9431657082,ab|d|f$,38,69492,-3135,29965,false,
words,5,3,1874029365,x|^k|^t|^r|v|d|oo,35,241159,-27874,60045,true,
abba,5,2,9431657082,z|u|ph|^n|te|t$,39,465522,-35436,45592,false,
four,5,2,9431657082,j|W|^d[W-f]|M[W-f]|po|[^o]v|lo|o$,39,331388,-26144,50599,false,
ranges,5,6,4612780539,f|ba|[^i]d|^d$,39,355558,-17800,32423,false,
abba,5,3,1874029365,z|hi|^p|u|it|y$,39,476066,-35369,43292,false,
four,5,3,1874029365,f|vi|o[^i]o|b^|a$,38,21694,-1729,46088,false,
words,5,4,5691784320,mu|x|oo|^k|^t|v|^r|d$,36,266109,-31256,60024,true,
abba,5,4,5691784320,st|z|u[^n]|^v|t$,39,556444,-43477,46659,false,
ranges,5,10,7095231486,^a|f|^d|b,39,447747,-23383,32170,false,
four,5,4,5691784320,o[^]o|^[W-j][W-f]|ka$,38,372980,-33266,50768,false,
words,5,5,8392760514,x|oo|^k|^t|v|^r|d,35,586041,-58367,60143,true,
abba,5,5,8392760514,z|it|[^c]h|u,39,65054,-5969,50195,false,
ranges,5,12,2196735084,de|f[^t]|ab|d$,40,314731,-17189,32146,false,
four,5,5,8392760514,o[^]o|^[W-j][W-f],37,211935,-14696,45198,false,
words,5,6,4612780539,oo|ev|^k|x|^r|li[^d]v|^t|d$,36,500172,-48578,56798,false,
abba,5,6,4612780539,te|z|[^c]h|u|iz|t$,40,213411,-16511,46819,false,
ranges,5,14,2405681973,f|ab|de|d$,39,529005,-27797,31620,false,
four,5,6,4612780539,gi|po|f|v[f-j]|o[W-j]o|a$,39,371982,-29951,47668,false,
ranges,5,15,2738495106,ff|d|ba|^a$,39,72110,-4937,32260,false,
words,5,7,8261384957,ex|oo|ic|^k|^tc|^r|ah$|e[^r]$,38,445596,-54808,60070,true,
abba,5,7,8261384957,[^c]z|h|u|it,39,525206,-39397,44745,false,
four,5,7,8261384957,^M[W-f]|el|f|o[W-j]|vi|W|c[W-j]$,38,498809,-39154,48441,false,
ranges,5,16,1069782534,d[^i]|b|^f,39,182752,-9576,33026,false,
abba,5,8,2463075891,^p|z|u|[^c]h|it|t$,40,91191,-6925,42826,false,
words,5,8,2463075891,x|^k|^t|^r|v|la|[^n]d,35,13003,-1211,60018,true,
four,5,8,2463075891,^d|el|do|o[^r]o|a$,39,343405,-25687,44307,false,
ranges,5,17,3018795246,ab|f|[^i]d|^d,40,403841,-20751,31072,false,
abba,5,9,9135874206,z|[^c]h|u|it,39,470288,-36426,46760,false,
four,5,9,9135874206,j|W|M[W-f]|o[^]o|[f-j]l|[W-j]v,40,278069,-18718,46698,false,
words,5,9,9135874206,x|oo|^k|^t|^r|v|x|d$,35,387212,-37295,55478,false,
ranges,5,20,4925731068,ba|[^i]d|^d,39,378348,-18521,30522,false,
abba,5,10,7095231486,[^c]z|h|it|u,39,43903,-3298,46023,false,
ranges,5,21,3486027915,ff|ba|^a|d,39,86655,-5570,34521,false,
four,5,10,7095231486,^[W-j][W-f]|o[^]o,37,283531,-24068,45724,false,
words,5,10,7095231486,x|ah|^t|^k|^r|oo|d$,36,433931,-44192,60021,true,
abba,5,11,9842301657,[^c]z|h|ry|u|it,40,54444,-5133,46686,false,
ranges,5,23,1068243795,ba|f|^d|d$,39,386598,-21177,32643,false,
four,5,11,9842301657,[W-j]v|o[^v]o|^d|a$,39,597978,-41587,41784,false,
ranges,5,24,1764028593,b|f|^a|^d|f$,39,413400,-22577,32373,false,
abba,5,12,2196735084,[^c]z|h|it|u|^p,40,181868,-14524,44824,false,
words,5,11,9842301657,oo|[^]x|^k|^t|^r|v|d,35,107650,-17240,60048,true,
four,5,12,2196735084,o[^]o|f|v[f-j]|a$,38,9429,-716,47700,false,
