Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
ranges,5,8,3141506592,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,242370,0,52882,107958,true
ranges,5,9,3313543896,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,431360,0,74555,115505,true
ranges,5,10,8657690939,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,17544,0,8818,97169,true
ranges,5,11,9696640194,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,224763,0,44029,105888,true
ranges,5,12,6621545651,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,69571,0,15522,114104,true
ranges,5,13,2492462788,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,251936,0,47353,154403,true
ranges,5,14,3404588599,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,219678,0,42967,118831,true
ranges,5,15,2330977742,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,279931,0,66649,121962,true
ranges,5,16,6361187489,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,194836,0,38033,119039,true
ranges,5,17,2805026820,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,135173,0,34246,126236,true
ranges,5,18,4323456912,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,49589,0,14372,109268,true
ranges,5,19,8361101999,de|a..$|.b|ad|ff|ee,de|a..$|.b|ad|ff|ee,21,42,1,0,206,105620,true
ranges,5,20,9935136846,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,17647,0,9208,131527,true
ranges,5,21,5217407358,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,100400,1,34345,116071,true
ranges,5,22,5619256299,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,120752,0,38247,131478,true
ranges,5,23,4560422870,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,165580,0,33389,108812,true
ranges,5,24,5236888092,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,40315,0,12662,98224,true
ranges,5,25,1337360711,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,243583,0,44042,109748,true
ranges,5,26,7659837985,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,151463,0,28888,108453,true
ranges,5,27,2521100877,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,59356,0,14891,94086,true
ranges,5,28,8801535107,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,411520,1,82530,114700,true
ranges,5,29,9651599436,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,323852,0,79105,125291,true
backrefs,5,1,2967301147,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,883,71441,true
backrefs,5,1,5600405384,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,927,71996,true
backrefs,5,2,1632819610,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,800,70229,true
backrefs,5,3,1412034944,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,897,72828,true
backrefs,5,4,9724161943,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,905,71587,true
backrefs,5,5,4037724866,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,921,72580,true
backrefs,5,6,8370032799,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,854,73644,true
backrefs,5,7,2767986875,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,842,82025,true
backrefs,5,8,3141506592,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,1,1130,73705,true
backrefs,5,9,3313543896,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,865,81472,true
backrefs,5,10,8657690939,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,l$|e.a|e.t|r.u|o.h|u.t|oa|yh|ry|l.g,21,42,1,0,1378,75919,true
