Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,15,2330977742,it|yt|z|u|h[i-t][a-p],it|yt|z|u|h[i-t][a-p],17,39,472181,0,25667,34944,false
warmup,5,29,9651599436,[fg]oo,[fg]oo,21,42,421468,0,51601,64114,true
abba,5,16,6361187489,[c-t][tuv]z|,[c-t][tuv]z|,15,37,283537,0,15557,30063,false
order,5,29,9651599436,[st][t-z]\b|ps|lat[o-z]c|c|[o-r][o-y]\b|r^m|m$,{0}[st][t-z]\b|ps|lat[o-z]c|c|[o-r][o-y]\b|r^m|m$,18,39,535050,0,79572,94880,true
anchors,5,1,2967301147,k$,k$,21,42,455075,0,35382,43021,false
abba,5,17,2805026820,[f-t][t-z]l|$,[f-t][t-z]l|$,13,35,142287,1,9049,31793,false
anchors,5,1,5600405384,k$,{0}k$,21,42,212014,0,16726,36404,false
abba,5,18,4323456912,hi[a-n]|[f-t][t-z],hi[a-n]|[f-t][t-z],14,36,146994,0,8405,40385,false
anchors,5,2,1632819610,ck$,ck$,21,42,406431,0,24331,35957,false
anchors,5,3,1412034944,k$,k$,21,42,111213,0,7112,39187,false
abba,5,19,8361101999,[f-t]\1([t-z]|h),[f-t]\#([t-z]|h),14,36,296874,1,39080,79908,true
abba,5,20,9935136846,[f-t][t-z]h|,[f-t][t-z]h|,12,34,264769,0,12758,29127,false
anchors,5,4,9724161943,nk|c$,nk|c$,21,42,867,0,90,39215,false
abba,5,21,5217407358,[f-t][t-z]|l$,[f-t][t-z]|l$,13,35,244937,0,12264,30884,false
anchors,5,5,4037724866,^wgk|b$,^wgk|b$,21,42,540652,0,37186,41217,false
abba,5,22,5619256299,[^][tu]z|,.[tu]z|,13,35,279323,0,13165,30624,false
anchors,5,6,8370032799,k$,k$,21,42,22963,0,2149,43523,false
abba,5,23,4560422870,o[^]o|[f-t][t-z]|l$,o.o|[f-t][t-z]|l$,14,36,146306,0,8808,32937,false
abba,5,24,5236888092,[c-t][tuv]z|,[c-t][tuv]z|,15,37,513779,0,23175,27095,false
anchors,5,7,2767986875,gsqk|d$,gsqk|d$,21,42,1215,0,133,39140,false
triples,5,1,2967301147,[1-8][^8]4|00|[2-7][0-7][0-6]$,[1-8][^8]4|00|[2-7][0-7][0-6]$,14,35,501481,0,281666,310784,true
abba,5,25,1337360711,v[^]h^ih|pi|u|[yz]t|[t-y]$,v.h^ih|pi|u|[yz]t|[t-y]$,14,36,562253,0,30928,37667,false
anchors,5,8,3141506592,g[c-s]p|k$,g[c-s]p|k$,21,42,59359,0,4166,40287,false
abba,5,26,7659837985,[t-z]e|h[i-t]|\Bu,[t-z]e|h[i-t]|\Bu,15,37,190742,0,11994,29780,false
anchors,5,9,3313543896,k$,k$,21,42,346003,0,18743,32530,false
anchors,5,10,8657690939,k$,k$,21,42,82419,0,5122,42945,false
abba,5,27,2521100877,u|b^s|[p-s][f-t]i|[i-s][c-i][t-z]|i|y$,u|b^s|[p-s][f-t]i|[i-s][c-i][t-z]|i|y$,17,39,287684,0,20112,62694,true
powers,5,3,1412034944,^xx?$,^xx?$,2,13,145944,0,209179,808243,true
anchors,5,11,9696640194,k$,k$,21,42,76752,0,4622,43881,false
triples,5,1,5600405384,8^79|0[012][2-9]|[1-7][45][0-8][2-6]\B,8^79|0[012][2-9]|[1-7][45][0-8][2-6]\B,13,34,567335,0,181256,187689,true
anchors,5,12,6621545651,[ijk]$,[ijk]$,21,42,269776,0,19197,38609,false
abba,5,28,8801535107,ur|[^nota][tu]|z,ur|[^a-t][tu]|z,18,40,491467,0,81394,90170,true
anchors,5,13,2492462788,k$,k$,21,42,432604,0,29241,40151,false
anchors,5,14,3404588599,k$,k$,21,42,222399,0,14005,34390,false
