words,11,7,8261384957,36,478243,-44347,54125,false,
words,11,8,2463075891,36,184651,-15126,47184,false,
words,11,9,9135874206,35,150566,-12240,50241,false,
words,11,10,7095231486,37,358086,-28962,53444,false,
words,11,11,9842301657,36,222826,-20317,51204,false,
words,11,12,2196735084,36,497869,-46636,55713,false,
words,11,13,9067852413,35,371269,-32200,50128,false,
words,11,14,2405681973,36,260055,-25514,52658,false,
words,11,15,2738495106,36,197381,-15974,50526,false,
words,11,16,1069782534,35,595269,-50115,50687,false,
words,11,17,3018795246,35,438207,-40376,52601,false,
words,11,18,1736058429,36,43464,-4720,50640,false,
words,11,19,6087432195,36,292706,-23012,49600,false,
words,11,20,4925731068,36,123732,-9567,49862,false,
words,11,21,3486027915,36,190007,-16241,49348,false,
words,11,22,6941372580,36,102141,-10706,55510,false,
words,11,23,1068243795,35,461323,-40984,52310,false,
words,11,24,1764028593,37,166223,-20627,56727,false,
words,11,25,3857069214,36,87716,-6865,50074,false,
words,11,26,9125784630,35,114673,-9491,48583,false,
words,11,27,7914823056,37,393256,-33269,50394,false,
words,11,28,1258360497,36,396124,-33129,50894,false,
words,11,29,7965023841,36,262074,-21733,48058,false,
words,13,1,4105328976,36,162479,-14504,54430,false,
words,13,1,6370951248,36,516892,-42070,49070,false,
words,13,2,9431657082,36,338725,-29459,52491,false,
words,13,3,1874029365,36,94521,-8777,46876,false,
words,13,4,5691784320,37,392731,-35678,56651,false,
words,13,5,8392760514,36,21597,-1930,53437,false,
words,13,6,4612780539,35,216138,-22208,56134,false,
words,13,7,8261384957,36,478028,-44211,54119,false,
words,13,8,2463075891,36,157036,-13200,56734,false,
words,13,9,9135874206,35,377080,-34591,53654,false,
words,13,10,7095231486,37,307939,-30128,53987,false,
words,13,11,9842301657,36,159951,-12363,47777,false,
words,13,12,2196735084,36,512008,-48957,56718,false,
words,13,13,9067852413,36,373452,-31184,49711,false,
words,13,14,2405681973,36,188467,-15698,45662,false,
words,13,15,2738495106,36,235309,-22509,54477,false,
words,13,16,1069782534,35,518147,-38976,47275,false,
words,13,17,3018795246,35,348106,-28129,49272,false,
words,13,18,1736058429,36,70397,-8046,52812,false,
words,13,19,6087432195,35,543321,-44369,50727,false,
words,13,20,4925731068,36,24869,-2232,51919,false,
words,13,21,3486027915,35,441978,-34054,48507,false,
words,13,22,6941372580,35,5780,-510,52103,false,
words,13,23,1068243795,38,597019,-50422,50781,false,
words,13,24,1764028593,37,225545,-20474,51347,false,
words,13,25,3857069214,35,242657,-20046,48839,false,
words,13,26,9125784630,36,10554,-1011,51266,false,
words,13,27,7914823056,37,509373,-43550,53836,false,
words,13,28,1258360497,36,442885,-37117,50260,false,
words,13,29,7965023841,35,479534,-37275,47994,false,
words,15,1,4105328976,36,277515,-23783,51781,false,
words,15,1,6370951248,36,535508,-41336,46675,false,
words,15,2,9431657082,36,313985,-25707,50001,false,
words,15,3,1874029365,36,465788,-36189,46178,false,
words,15,4,5691784320,37,377179,-33119,55216,false,
words,15,5,8392760514,36,540707,-47731,53065,false,
