words,11,22,6941372580,35,146946,-12224,48647,false,
words,11,23,1068243795,35,342224,-26982,47680,false,
words,11,24,1764028593,34,2948,-326,48620,false,
words,11,25,3857069214,35,71190,-6179,47914,false,
words,11,26,9125784630,36,437538,-35968,49064,false,
words,11,27,7914823056,35,124324,-10578,49445,false,
words,11,28,1258360497,34,2948,-310,47501,false,
words,11,29,7965023841,34,461595,-37741,47937,false,
words,13,1,4105328976,35,324945,-26778,49516,false,
words,13,1,6370951248,35,62668,-5628,50672,false,
words,13,2,9431657082,35,23771,-2379,52260,false,
words,13,3,1874029365,35,83119,-7403,52855,false,
words,13,4,5691784320,35,580454,-50441,51791,false,
words,13,5,8392760514,35,448691,-39284,52825,false,
words,13,6,4612780539,34,597335,-51400,51698,false,
words,13,7,8261384957,35,539563,-46621,52190,false,
words,13,8,2463075891,35,14454,-1526,52281,false,
words,13,9,9135874206,34,2948,-340,51157,false,
words,13,10,7095231486,35,420091,-36801,52774,false,
words,13,11,9842301657,35,122953,-10542,49950,false,
words,13,12,2196735084,35,292282,-23901,49501,false,
words,13,13,9067852413,35,186983,-17389,54139,false,
words,13,14,2405681973,35,596793,-51077,51276,false,
words,13,15,2738495106,35,225929,-19373,52293,false,
words,13,16,1069782534,37,136542,-11427,52256,false,
words,13,17,3018795246,35,10163,-968,51317,false,
words,13,18,1736058429,35,174604,-15398,52540,false,
words,13,19,6087432195,35,210741,-18621,53037,false,
words,13,20,4925731068,34,71859,-6314,51562,false,
words,13,21,3486027915,34,2948,-328,49401,false,
words,13,22,6941372580,34,248202,-21034,51127,false,
words,13,23,1068243795,35,326865,-27668,50614,false,
words,13,24,1764028593,35,71627,-6699,52763,false,
words,13,25,3857069214,35,406237,-34782,51338,false,
words,13,26,9125784630,35,221515,-18365,50625,false,
words,13,27,7914823056,34,263463,-22698,50502,false,
words,13,28,1258360497,35,277158,-23917,50021,false,
words,13,29,7965023841,35,188633,-17442,51824,false,
words,15,1,4105328976,35,325605,-29219,54973,false,
words,15,1,6370951248,34,364280,-33357,54354,false,
words,15,2,9431657082,36,557604,-48227,51771,false,
words,15,3,1874029365,35,537942,-46165,52344,false,
words,15,4,5691784320,34,2948,-380,55754,false,
words,15,5,8392760514,34,550159,-51175,55707,false,
words,15,6,4612780539,35,254771,-23991,55426,false,
words,15,7,8261384957,35,111373,-9415,52798,false,
words,15,8,2463075891,36,261827,-23670,53907,false,
words,15,9,9135874206,35,47430,-4298,55994,false,
words,15,10,7095231486,35,292458,-28512,57398,false,
words,15,11,9842301657,35,218842,-20074,53359,false,
words,15,12,2196735084,34,2948,-358,52875,false,
words,15,13,9067852413,34,2948,-360,53751,false,
words,15,14,2405681973,35,33770,-3737,55648,false,
words,15,15,2738495106,35,75566,-7763,57666,false,
words,15,16,1069782534,34,2948,-331,53715,false,
words,15,17,3018795246,35,10163,-973,53394,false,
words,15,18,1736058429,35,384964,-33817,53876,false,
words,15,19,6087432195,34,2948,-345,54073,false,
words,15,20,4925731068,34,2948,-332,54192,false,
words,15,21,3486027915,35,44287,-3663,54372,false,
words,15,22,6941372580,35,69349,-6946,53379,false,
words,15,23,1068243795,36,441913,-42693,56239,false,
words,15,24,1764028593,35,291854,-25430,51555,false,
words,15,25,3857069214,34,2948,-327,51018,false,
words,15,26,9125784630,34,2948,-338,53181,false,
words,15,27,7914823056,34,2948,-356,53367,false,
words,15,28,1258360497,34,560431,-51366,54965,false,
words,15,29,7965023841,34,307747,-28835,56324,false,
anchors,5,1,4105328976,42,4,-10,33569,false,
anchors,5,1,6370951248,42,4,-11,33038,false,
anchors,5,2,9431657082,42,4,-10,32731,false,
anchors,5,3,1874029365,42,4,-10,33124,false,
anchors,5,4,5691784320,42,4,-10,32077,false,
anchors,5,5,8392760514,42,4,-10,33043,false,
anchors,5,6,4612780539,42,4,-11,32502,false,
anchors,5,7,8261384957,42,4,-10,33353,false,
anchors,5,8,2463075891,42,4,-10,33380,false,
anchors,5,9,9135874206,42,4,-10,32885,false,
anchors,5,10,7095231486,42,4,-10,32879,false,
anchors,5,11,9842301657,42,155653,-8529,32443,false,
anchors,5,12,2196735084,42,574179,-31238,32631,false,
anchors,5,13,9067852413,42,4,-10,32821,false,
anchors,5,14,2405681973,42,4,-10,32318,false,
anchors,5,15,2738495106,42,4,-11,32845,false,
anchors,5,16,1069782534,42,4,-10,33103,false,
anchors,5,17,3018795246,42,577188,-31680,32843,false,
anchors,5,18,1736058429,42,4,-10,32482,false,
anchors,5,19,6087432195,42,201111,-11363,32848,false,
anchors,5,20,4925731068,42,4,-9,33285,false,
anchors,5,21,3486027915,42,4,-9,33434,false,
anchors,5,22,6941372580,42,4,-10,32914,false,
anchors,5,23,1068243795,42,168979,-9337,33065,false,
anchors,5,24,1764028593,42,273424,-15248,32942,false,
anchors,5,25,3857069214,42,387295,-22197,33971,false,
anchors,5,26,9125784630,42,293023,-16386,33335,false,
anchors,5,27,7914823056,42,4,-10,32367,false,
anchors,5,28,1258360497,42,394414,-21966,33168,false,
anchors,5,29,7965023841,42,4,-10,33294,false,
anchors,7,1,4105328976,42,241533,-14834,35914,false,
anchors,7,1,6370951248,42,320981,-19024,35932,false,
