Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,10,10,^n|ca|z|u,35,3052,202,60304,true
abba,10,11,ph|it|z|u,38,2712,215,61144,true
abba,10,12,z|ph|u|t$,36,2849,186,60570,true
abba,10,13,^z|z|^v|^n|^p|ph|u,38,47976,3944,60572,true
abba,10,14,te|h[^eo]|u|z|f^$,37,31245,2138,61497,true
abba,10,15,z|u|it,35,4137,325,61653,true
abba,10,16,z|u|[^c]h|a^o,36,25646,1644,61167,true
abba,10,17,y|u|z|hbn$,33,2326,192,60061,true
abba,10,18,z|hi|y|u,35,5229,316,60696,true
abba,10,19,^z[^p]sl|z|u|t$,33,1732,163,61267,true
abba,10,20,z|u|y|it,36,10189,727,61085,true
abba,10,21,h^z|u|^v|^n|^p|ph|z|t$,39,65313,3308,60157,true
abba,10,22,ph|z|[^x]u|t$,38,27104,1650,61326,true
abba,10,23,z|it|u,35,17536,1067,60454,true
abba,10,24,^z|z|^v|^n|^p|ph|u|t$,39,96925,6671,60485,true
abba,10,25,^dz|z|lo[^sh]|ry|[^x]u|l$,38,16918,1304,60329,true
abba,10,26,^p|z|u[^n]|l$,36,4899,346,60455,true
abba,10,27,^bz|y|u|z|t$,34,9549,620,60832,true
abba,10,28,nc^z|z|u|[^am][^at]t|t$,39,21197,1745,60706,true
abba,10,29,[^]u|z|t$,35,11942,711,61124,true
abba,10,30,N/A,0,0,61484,61484,true
abba,11,1,^z|z|^v|^n|^p|ph|u,38,5111,347,61364,true
abba,11,2,z|u,32,508,36,60584,true
abba,11,3,z|u|l$,33,2539,165,60634,true
abba,11,4,^z|z|^v|^n|^p|ph|u,38,24790,1506,61045,true
abba,11,5,z|u|^a|c$,34,3562,229,60447,true
abba,11,6,^z|z|^v|^n|^p|ph|u|mg$,38,13001,943,60425,true
abba,11,7,[^x]u|z|t$,35,22473,1295,61226,true
abba,11,8,z|[^x]u|st|t$,38,37352,2073,60760,true
abba,11,9,^hz|z|[^x]u,34,1063,85,61298,true
abba,11,10,z|te|[^x]u,36,1202,88,61269,true
abba,11,11,^z|z|^v|^n|^p|ph|u|fg$,38,15682,1103,60136,true
abba,11,12,z|st|[^ap]u|l$,38,63396,4663,61157,true
abba,11,13,z|u|t$,33,4934,371,23167,false
abba,11,14,^g|^v|^n|p|u[^n],36,9950,610,60634,true
abba,11,15,^z|z|^v|^n|^p|ph|[^p]u,40,8191,574,60850,true
abba,11,16,z|u|a^yz|ph|t$,36,4093,315,60889,true
abba,11,17,z|h^r|[^cg]h|u,36,2099,175,60914,true
abba,11,18,[^b]u|z|t$,35,2078,164,60860,true
abba,11,19,te|z|u|ca|t$,37,7514,586,60760,true
abba,11,20,N/A,0,0,60802,60802,true
abba,11,21,z|ph|u|t$,36,2525,184,61069,true
abba,11,22,^a|z|^v|^n|^p|u|mi[^rf],37,11730,991,60960,true
abba,11,23,^a|z|^v|^n|^p|u|g[^z]$,36,9376,783,61011,true
abba,11,24,^g|^v|^n|p|[^x]u,36,14173,1045,61521,true
abba,11,25,z|y|u|nd^ed$,33,2139,186,60352,true
abba,11,26,lf|ph|te|z|[^s]u,39,80597,4913,60423,true
abba,11,27,^z|z|^v|^n|^p|ph|[^a]u,40,17191,1007,60065,true
abba,11,28,^g|^v|^n|p|u[^n],36,13889,885,60448,true
abba,11,29,^g|^v|^n|p|u,34,2855,196,61306,true
abba,11,30,z|u[^nx],34,844,69,61161,true
abba,12,1,z|u|r^b|[^c]h|t$,37,27378,2301,61222,true
abba,12,2,^v|z|u|^n|^p|ph|u|tan$,39,46904,3033,60690,true
abba,12,3,^z|z|^v|^n|^p|ph|u,38,35563,2170,61157,true
abba,12,4,^g|^v|^n|p|u,34,4235,301,60914,true
