Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,vi|[^c]h|z|y|u|t$,38,49513,2598,35029,false
abba,5,2,^a|e[^]o|z|u,35,3947,246,27012,false
abba,5,3,^a|z|[^]u|c$,36,45779,2248,40766,false
abba,5,4,[^c]h|z|y|u|n^|t$,37,16488,832,21961,false
abba,5,5,^n|ph|u|z|t$,37,4267,234,36568,false
abba,5,6,[^]hi|^v|y|u|z|t$,38,85112,4253,22156,false
abba,5,7,^n|z|ph|[^]u|t$,39,19567,1331,29181,false
abba,5,8,z|po|[^]u|ph|^[^]i|t$,40,94560,5789,122471,true
abba,5,9,z|[^]u|st,37,8710,476,25028,false
abba,5,10,z|^p|[^c]h|u|t$,38,5761,435,20633,false
abba,5,11,[^c]h|z|y|u|t$,37,47823,2061,121688,true
abba,5,12,z|v|^p|[^][^]h|[^]u|t$,40,96267,4969,28878,false
abba,5,13,N/A,0,0,18813,18813,false
abba,5,14,[^c]h|z|u|it,39,49720,2845,27609,false
abba,5,15,^v|st|z|[^]u|t$,39,47227,3112,49831,false
abba,5,16,z|t[^]n|ca|^n|u|y$|t$,39,47010,2517,47228,false
abba,5,17,z|hi|st|[^]u|t$,39,84485,4524,123034,true
abba,5,18,[^c]h|z|y|u|^v|t$,38,85803,4707,122895,true
abba,5,19,[^c]h|z|y|u,36,3270,176,121864,true
abba,5,20,^v|z|[^c]h|u|y|t$,38,32387,1565,121347,true
abba,5,21,z|hi|[^]u|t$,37,20173,1003,18694,false
abba,5,22,it|u|z,35,21205,993,30045,false
abba,5,23,z|st|[^]u|t$,38,45960,2229,124558,true
abba,5,24,[^c]h|z|u|u|te,38,8859,830,27524,false
abba,5,25,N/A,0,0,17919,17919,false
abba,5,26,ph|^n|z|it|u|l$,39,21418,1306,120505,true
abba,5,27,^n|z|u|it,36,10987,777,17730,false
abba,5,28,^p|z|u|[^c]h|t$,38,27057,1559,31568,false
abba,5,29,[^c]h|z|y|u|t$,37,39788,2029,30142,false
abba,5,30,it|^n|z|u|ph,39,4136,205,120249,true
abba,6,1,^v|z|st|u[^n],38,58133,3104,121431,true
abba,6,2,z|te|[^]u|hi,38,5286,329,121612,true
abba,6,3,ca|z|^n|[^]u,37,27545,1770,41916,false
abba,6,4,ca|z|st|^v|u|t$,39,38111,2695,121133,true
abba,6,5,[^c]h|z|y|u|^ac,37,8295,609,122641,true
abba,6,6,z|it|te|u|[^c]h,40,165158,9262,31357,false
abba,6,7,[^c]h|z|y|u|t$,37,20177,1238,25827,false
abba,6,8,^n|z|ph|[^]u|t$,39,111170,6962,34378,false
abba,6,9,^v|z|y|u|[^]hi|t$,38,94936,5109,30743,false
abba,6,10,[^c]h|z|y|u|t$,37,34622,1883,29553,false
abba,6,11,^n|it|z|u|y|l$,38,67039,2654,19594,false
abba,6,12,z|^a[^nb]|[^]u|t$,38,55752,2248,34349,false
abba,6,13,^n|z|ph|u[^n],38,40883,1585,121599,true
abba,6,14,^p|z|it|hi|u|y$,39,45364,2858,41755,false
abba,6,15,z|u|[^ma][^at]t|t$,39,103343,4872,32906,false
abba,6,16,v^|[^c]h|u|z|t$,37,4813,296,23522,false
abba,6,17,^n|z|u|y|it,37,18136,842,32040,false
abba,6,18,ca|z|u|st|t$,38,51409,2786,26446,false
abba,6,19,N/A,0,0,24955,24955,false
abba,6,20,^v|st|z|u|t$,37,3838,231,26385,false
abba,6,21,[^c]h|z|y|u|t$,37,54831,2678,34534,false
abba,6,22,z|u|lo,33,1443,79,122377,true
abba,6,23,^z|z|y|u|[^]hi|it,39,224940,10130,26206,false
abba,6,24,z|^v|[^]u|st|l$,39,75438,4594,34695,false
abba,6,25,z|te|^n|u|y$|t$,37,23350,1491,30444,false
abba,6,26,[^c]h|z|y|u,36,53031,2318,25068,false
abba,6,27,z|it|y|^n|u,37,8202,503,34772,false
abba,6,28,^a|z|te|[^]u|c$,38,58257,3255,34147,false
abba,6,29,z|u|it|[^c]h|^p|t$,40,120874,5877,32542,false
abba,6,30,^l|[^c]h|z|te|u|t$,39,95290,3937,31193,false
abba,7,1,z|u|^$,32,1331,81,123036,true
abba,7,2,z|u|t$,33,1080,66,122321,true
abba,7,3,y|p^|u|z|t$,34,7027,539,25157,false
abba,7,4,[^c]h|z|y|u|it,39,42690,1980,21942,false
abba,7,5,^n|z|ph|u|t$,37,7547,432,121390,true
abba,7,6,^p|z|[^c]h|it|u,40,94374,6101,122568,true
abba,7,7,^f|no|[^][^]h|[^ac]e$,37,17546,1036,43669,false
abba,7,8,^n|z|ph|[^]u,38,3562,183,43980,false
abba,7,9,[^c]h|z|u|te,38,48706,1712,27380,false
abba,7,10,z|te|[^]u|t$,37,28267,1348,121305,true
abba,7,11,z|^n|u|ph|t$,37,60852,2850,123151,true
abba,7,12,z|st|ca|u|^v|t$,39,43034,2139,28479,false
abba,7,13,z|y|hi|it|u|t$,38,117074,6110,22790,false
abba,7,14,z|it|u|ph,38,39161,2414,28418,false
abba,7,15,^n|z|ph|u|it,39,294729,13657,26375,false
abba,7,16,z|it|u|y,36,4443,204,24581,false
abba,7,17,st|ca|^v|z|[^]u,40,268434,14117,35828,false
abba,7,18,^p|[^]u|z|[^c]h|t$,40,77792,3222,120211,true
