Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
prime,5,4,5691784320,((x((xx[^]xx))))\1x\1\1\1,9,30,422812782,46534,false
long-count,5,19,6087432195, $,0,20,51336833314,39002,false
prime,5,5,8392760514,(xxx(xx[^]xxxx))\1x\1,9,30,52531835377,40440,false
long-count,5,20,4925731068, $,0,20,1054606485,36392,false
prime,5,6,4612780539,x(((((xxxxx))))\1x)\1\1\1\1$,9,30,522513782,44955,false
long-count,5,21,3486027915,0^,0,20,18554912282,38393,false
long-count,5,22,6941372580,^ ,0,20,51432831470,36908,false
prime,5,7,8261384957,((xx(x(x[^]xx))))\1\1\1\1,9,30,51156544127,52284,false
long-count,5,23,1068243795,^ ,0,20,41852326361,36908,false
prime,5,8,2463075891,x(x(xxx)xxxx()?)\1\1\1$,9,30,58038643096,44815,false
long-count,5,24,1764028593,^ ,0,20,29713017860,36033,false
prime,5,9,9135874206,((x((xxxxx))))\1x\1\1\1,9,30,49308632580,40752,false
long-count,5,25,3857069214,^$,0,20,1574779813,37017,false
prime,5,10,7095231486,(x((x[^]xxxxxx)))\1\1\1,9,30,55591938955,41877,false
long-count,5,26,9125784630,^ ,0,20,1360108735,37736,false
prime,5,11,9842301657,[^]^xxx|^(xx?)?\1xxx$,3,24,18047910719,36767,false
long-count,5,27,7914823056,^ ,0,20,1250017610,36283,false
prime,5,12,2196735084,((x((xxxxx))))\1x\1\1\1,9,30,27358818923,42846,false
long-count,5,28,1258360497, $,0,20,16874010641,38096,false
prime,5,13,9067852413,x(((((xx[^]xx))))\1x)\1\1\1\1$,9,30,34924922314,39346,false
long-count,5,29,7965023841, $,0,20,19780512469,38580,false
prime,5,14,2405681973,(^x?)(\1x)?\1x$,3,24,30931320173,40877,false
alphabetical,5,1,4105328976,te.?a|t$,8,25,35380224501,42924,false
prime,5,15,2738495106,x((xxx\1xx))\1\1\1\1\1$,9,30,48484333002,40393,false
alphabetical,5,1,6370951248,e[^r].nt,9,26,46180930142,38799,false
prime,5,16,1069782534,((x((xxx[^]x))))\1x\1\1\1,9,30,36070325533,40799,false
alphabetical,5,2,9431657082,r.?[^r].en,9,26,44586026126,35658,false
alphabetical,5,3,1874029365,e.[^r]n. ,8,25,29657218735,40393,false
prime,5,17,3018795246,((^x(xxxxxxx.)))\1\1\1,9,30,49505635767,45877,false
alphabetical,5,4,5691784320,te.?a|t[^a]?$,9,26,29768317767,38768,false
prime,5,18,1736058429,(x((xxxxxxxx)))\1\1\1,9,30,34323225376,45596,false
alphabetical,5,5,8392760514,te.?a|t.?$,9,26,28011418798,38439,false
prime,5,19,6087432195,(x((xxxxx[^]xx)))\1\1\1,9,30,22441215016,42143,false
alphabetical,5,6,4612780539,te.?a|t$,8,25,37906025548,39518,false
prime,5,20,4925731068,xxxxxxx(x((xxx[^]x)))\1\1\1|^xxx?$,11,32,58434352299,54925,false
alphabetical,5,7,8261384957,te.?a|t.?$,9,26,41231327767,40393,false
prime,5,21,3486027915,x(((((xxxxx))))\1x)\1\1\1\1$,9,30,36889226564,43627,false
alphabetical,5,8,2463075891,st.s|a..?r?$,8,25,249141610,37705,false
prime,5,22,6941372580,(((^xxxxxxxxx)))\1\1\1,9,30,54909638252,41440,false
alphabetical,5,9,9135874206,t..es,8,25,41082427064,39330,false
alphabetical,5,10,7095231486, .en?s?.n|^r$,9,26,367242078,37846,false
prime,5,23,1068243795,x(((((xxxxx))))\1x)\1\1\1\1$,9,30,54041142658,47565,false
alphabetical,5,11,9842301657,n r|e[^r].nt,10,27,55817435876,38330,false
prime,5,24,1764028593,((^x((xxx.x))))\1x\1\1\1,9,30,45199530252,40846,false
alphabetical,5,12,2196735084,e[^r].nt,9,26,1003166657,38658,false
prime,5,25,3857069214,((x((x[^]xxx))))\1x\1\1\1,9,30,39185526376,39846,false
alphabetical,5,13,9067852413,[^]te.?a|t.?$,9,26,48735930798,38611,false
prime,5,26,9125784630,xxx(x((xxx)x.x))\1\1\1$,9,30,561193907,45471,false
alphabetical,5,14,2405681973,e[^r].nt,9,26,22834719173,42096,false
prime,5,27,7914823056,((xx(x(xxxx))))\1\1\1\1,9,30,1260199594,40283,false
alphabetical,5,15,2738495106,te.?a|t.?$,9,26,51423437986,43768,false
prime,5,28,1258360497,((x((x[^]xxxx))))\1\1\1\1,9,30,36347224173,39268,false
alphabetical,5,16,1069782534,e[^r]e?n|\1^en|t(.s?)?$,9,26,50647933626,40939,false
prime,5,29,7965023841,((x((xxx[^]x))))\1x\1\1\1,9,30,39871727064,43877,false
alphabetical,5,17,3018795246,te.?a|t.?$,9,26,38640934470,48909,false
four,5,1,4105328976,t[^]v|^[W-j][W-j]|cpd|o[W-j]o|l.t|n[W-j].$,18,39,18408813063,39846,false
alphabetical,5,18,1736058429,e[^r]n?.nt,9,26,902724860,41096,false
four,5,1,6370951248,^W|es|ig|W|[^o]v.|.o.o|a$,19,40,1337039844,40002,false
alphabetical,5,19,6087432195,e[^r].nt,9,26,37487225783,41955,false
four,5,2,9431657082,f|ka|vi|W|a^vy|o.o|c[W-j]$,19,40,54435738455,42752,false
four,5,3,1874029365,po|^bh|l[f-j]t|[W-j]o|a$,17,38,56954138830,40768,false
alphabetical,5,20,4925731068,r.?[^r].en|^ n$,9,26,21317314360,42033,false
four,5,4,5691784320,a^hj|[f-j]t?i|mo.|o[W-j]o|a$,17,38,29400819001,40455,false
alphabetical,5,21,3486027915,[^r]e....nn?|te?$,10,27,45384234377,44658,false
four,5,5,8392760514,Trn.$|vi|o[^r]o|^d|W[W-j]W|a$,18,39,25637519814,40877,false
alphabetical,5,22,6941372580,te.?a|t.?$,9,26,58638935783,36721,false
four,5,6,4612780539,^j|d|W|o.o|vi,18,39,40987326173,41330,false
alphabetical,5,23,1068243795,e.te?a|a^ |t.?$,9,26,28796319969,42111,false
alphabetical,5,24,1764028593,[^r]..nt.,8,25,37823026158,40830,false
four,5,7,8261384957,v[^]s|gi|(o)p\1|f|o[W-j]o|a$,18,39,596475063,45643,false
alphabetical,5,25,3857069214,te.?a|t.?$,9,26,726434313,39721,false
four,5,8,2463075891,f|sc|j|W|k[W-j].|nte|o[W-j]o,17,38,55614950940,54284,false
alphabetical,5,26,9125784630,^a|s$,7,24,30565921423,44174,false
four,5,9,9135874206,^[W-j][W-f]|ps|M[W-f]|u[^u]f|o.o,18,39,19957014266,39549,false
alphabetical,5,27,7914823056,r^et|e[^r].nt|.s$,9,26,945266875,38846,false
four,5,10,7095231486,^d|v[f-j]|o[W-j]|a$,15,36,275461735,37158,false
alphabetical,5,28,1258360497,t.[^]es,8,25,48191138408,45705,false
four,5,11,9842301657,d^tW|f|v[f-j]|o[^]o|a$,17,38,23841917642,39314,false
alphabetical,5,29,7965023841,tt|^r.r|e[^r].nt,10,27,28046921923,42096,false
four,5,12,2196735084,((.)).\1?.\1.\1|^uu$,21,42,552784157,39893,false
four,5,13,9067852413,po|o[W-j]o|ar[W-f]|s[W-j](^v|e|.[W-j]|$),18,39,57735937127,38814,false
four,5,14,2405681973,^[W-j][W-j]|M[W-f]|il|[W-j]o,16,37,47498328908,35814,false
four,5,15,2738495106,(.)(.)\1.\1|o$,20,41,194641078,41408,false
four,5,16,1069782534,f|(a|o|W|n).\1,17,38,33122118798,34283,false
four,5,17,3018795246,^[W-j][W-j]|[W-j]o|M[W-f]|l[^t]t.,17,38,41333226095,40236,false
four,5,18,1736058429,[^()]p^m|W|(.).\1.\1,20,41,42725627486,37814,false
four,5,19,6087432195,[W-j]W|v|o.o|l[f-j]t,17,38,59528238533,38783,false
four,5,20,4925731068,nte|^[W-j][W-f]|d[^r]p|o[W-j],16,37,31381518017,37205,false
four,5,21,3486027915,f|l.t|o[^]o|u^.oy|a$,17,38,25961315751,40330,false
four,5,22,6941372580,f|^W|o.o|M[W-f]|c[W-j]$,17,38,186451266,38268,false
four,5,23,1068243795,f|ty|j|k[W-j].|W|o(.o)|g[f-j]$,17,38,30761721595,41190,false
four,5,24,1764028593,(([^]))(.\1).\1,20,41,27875516735,37877,false
four,5,25,3857069214,j|W|si.|o.o|n[W-j].$,17,38,59154445393,46049,false
four,5,26,9125784630,([W-j])l\1|^[W-j][W-j]|M[W-f]|o[W-j]o,18,39,18013510876,39393,false
four,5,27,7914823056,vpf|(.)([^b])\1.\1|ho|^a$,21,42,48432430205,38533,false
four,5,28,1258360497,u^g|((.)).\1.\1,20,41,265081453,38814,false
four,5,29,7965023841,^[W-j][W-j]|il?[^n]t|ak|o[W-j]o,19,40,643004500,44002,false
