Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
triples,5,10,7095231486,12|^.1|6$|4[^3]2.|.04?$,11,32,36022028955,47596,false
anchors,5,9,9135874206,k$,21,42,31251516672,32095,false
triples,5,11,9842301657,[^8]75|00|4.2\1?,11,32,58580043283,44440,false
anchors,5,10,7095231486,k$,21,42,31654917048,34408,false
triples,5,12,2196735084,^.9?0|(24|7.?.\15?$),11,32,16606611126,44330,false
anchors,5,11,9842301657,k$,21,42,906154328,34924,false
triples,5,13,9067852413,58|^7?31|4.2|00.2?$,11,32,427793860,45784,false
anchors,5,12,2196735084,k$,21,42,24171414907,37596,false
anchors,5,13,9067852413,k$,21,42,48539127876,33845,false
triples,5,14,2405681973,17|^.4?0|95|1[^8]4|02?$,12,33,53490837877,43815,false
anchors,5,14,2405681973,k$,21,42,1673409735,34017,false
triples,5,15,2738495106,[^0].7|0.2?5?$,11,32,22166320501,46284,false
anchors,5,15,2738495106,k$,21,42,46741629455,38143,false
triples,5,16,1069782534,24|^.9?0|7..?$,11,32,41589829705,44018,false
anchors,5,16,1069782534,k$,21,42,21705615141,38814,false
triples,5,17,3018795246,55|1?[^8]4|^9.1?04|0..$,10,31,18407415595,45815,false
anchors,5,17,3018795246,k$,21,42,31098619094,33783,false
anchors,5,18,1736058429,k$,21,42,48870227048,33408,false
triples,5,18,1736058429,00|^81|7.?.?$,10,31,29931020610,45221,false
anchors,5,19,6087432195,k$,21,42,48307828189,34361,false
triples,5,19,6087432195,[^0].7|0.2?$,10,31,39273228908,44862,false
anchors,5,20,4925731068,k$,21,42,32978919766,34658,false
triples,5,20,4925731068,00|^44|48|7.?.?$,12,33,41785333799,45112,false
anchors,5,21,3486027915,k$,21,42,1224277219,34830,false
triples,5,21,3486027915,40?[^]2|14|(5)\1|^3|0..$,12,33,53156735127,40018,false
anchors,5,22,6941372580,k$,21,42,44196627533,36221,false
anchors,5,23,1068243795,k$,21,42,50599630314,36158,false
triples,5,22,6941372580,..7|0[^8]$,10,31,30229719454,41939,false
anchors,5,24,1764028593,k$,21,42,38888523657,36721,false
triples,5,23,1068243795,4[^]2|^44|00|7.?.?$,11,32,45916430752,40424,false
anchors,5,25,3857069214,k$,21,42,19761010532,31595,false
triples,5,24,1764028593,^0|24|[^2].5..|6$,11,32,36294028455,44080,false
anchors,5,26,9125784630,k$,21,42,39508624173,36939,false
triples,5,25,3857069214,[^0].7|^0|1$,9,30,39534632924,45237,false
