Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,foo,foo,21,21,0,3241,500000,0,30,false
warmup,5,1,5600405384,foo,foo,21,21,0,86859,500000,9,29,false
warmup,5,2,1632819610,foo,foo,21,21,0,288269,500000,18,27,false
warmup,5,3,1412034944,foo,foo,21,21,0,54371,500000,3,26,false
warmup,5,4,9724161943,foo,foo,21,21,0,95569,500000,6,26,false
warmup,5,5,4037724866,foo,foo,21,21,0,4133,500000,0,25,false
warmup,5,6,8370032799,oo[^k],oo[^k],20,20,0,4079,500000,0,20,false
warmup,5,7,2767986875,foo,foo,21,21,0,48216,500000,3,23,false
warmup,5,8,3141506592,foo,foo,21,21,0,4134,500000,0,28,false
warmup,5,9,3313543896,foo,foo,21,21,0,3243,500000,0,24,false
warmup,5,10,8657690939,foo,foo,21,21,0,11998,500000,1,22,false
warmup,5,11,9696640194,foo,foo,21,21,0,179727,500000,11,26,false
warmup,5,12,6621545651,foo,foo,21,21,0,59605,500000,4,23,false
warmup,5,13,2492462788,foo,foo,21,21,0,38646,500000,2,30,false
warmup,5,14,3404588599,foo,foo,21,21,0,2790,500000,0,23,false
warmup,5,15,2330977742,foo,foo,21,21,0,3275,500000,0,27,false
warmup,5,16,6361187489,foo,foo,21,21,0,3223,500000,0,21,false
warmup,5,17,2805026820,foo,foo,21,21,0,3217,500000,0,18,false
warmup,5,18,4323456912,foo,foo,21,21,0,4193,500000,0,22,false
warmup,5,19,8361101999,i?f.[no],i?f.[no],21,21,0,20734,500000,1,25,false
warmup,5,20,9935136846,foo,foo,21,21,0,197419,500000,12,25,false
warmup,5,21,5217407358,foo,foo,21,21,0,171550,500000,11,25,false
warmup,5,22,5619256299,foo,foo,21,21,0,4601,500000,0,22,false
warmup,5,23,4560422870,f.o,f.o,21,21,0,210858,500000,14,27,false
warmup,5,24,5236888092,foo,foo,21,21,0,3215,500000,0,28,false
warmup,5,25,1337360711,foo,foo,21,21,0,8684,500000,0,25,false
warmup,5,26,7659837985,f.o,f.o,21,21,0,4479,500000,0,25,false
warmup,5,27,2521100877,foo,foo,21,21,0,117674,500000,7,26,false
warmup,5,28,8801535107,foo,foo,21,21,0,151554,500000,9,26,false
warmup,5,29,9651599436,foo,foo,21,21,0,4103,500000,0,23,false
anchors,5,1,2967301147,k$,k$,21,21,0,112260,500002,7,21,false
anchors,5,1,5600405384,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,18,false
anchors,5,2,1632819610,[rs][de],[rs][de],3,3,0,499668,500002,18,18,false
anchors,5,3,1412034944,[ijk]$,[ijk]$,21,21,0,24208,500000,1,19,false
anchors,5,4,9724161943,k$,k$,21,21,0,83567,500000,5,20,false
anchors,5,5,4037724866,[rs][de],[rs][de],3,3,0,499626,500002,18,18,false
anchors,5,6,8370032799,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,17,false
anchors,5,7,2767986875,g?k$,g?k$,21,21,0,1642,500002,0,21,false
anchors,5,8,3141506592,[rs][de],[rs][de],3,3,0,499627,500002,17,17,false
anchors,5,9,3313543896,k$,k$,21,21,0,2657,500000,0,19,false
anchors,5,10,8657690939,^.[M-e],^.[M-e],9,9,0,4684,500002,0,19,false
anchors,5,11,9696640194,[bc]k$,[bc]k$,21,21,0,123509,500002,8,22,false
anchors,5,12,6621545651,[lm]u?[m-p],[lm]u?[m-p],4,4,0,7060,500002,0,18,false
anchors,5,13,2492462788,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,18,false
anchors,5,14,3404588599,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,17,false
anchors,5,15,2330977742,[ijk][ab]?$,[ijk][ab]?$,21,21,0,22130,500000,1,19,false
anchors,5,16,6361187489,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,21,false
anchors,5,18,4323456912,[rs][de],[rs][de],3,3,0,499686,500002,18,18,false
