backrefs,5,5,8392760514,^m|ro|rp|e[^]t|l$,34,45134,-2625,27986,false,
powers,5,12,2196735084,^xx$|^x$,13,57768,-2281,22142,false,
powers-2,5,12,2196735084,xxx|^x$,11,273428,-9563,21017,false,
anchors,5,23,1068243795,k$,42,94247,-6172,35001,false,
powers,5,13,9067852413,^xxxxx[^]xx$|^x$,13,396780,-14501,21751,false,
backrefs,5,6,4612780539,[^]f|nt|^m|^t|l$,32,245694,-10516,26469,false,
powers-2,5,13,9067852413,xxx|^x$,11,569155,-19564,20673,false,
anchors,5,24,1764028593,k$,42,465668,-25485,32329,false,
powers,5,14,2405681973,^x$|^xx$,13,486848,-17673,21782,false,
powers-2,5,14,2405681973,xxx|^x$,11,461073,-16345,21173,false,
backrefs,5,7,8261384957,nt|ro|^m|l$,31,224312,-11173,28033,false,
powers,5,15,2738495106,^xx$|^x$,13,62101,-2610,21720,false,
powers-2,5,15,2738495106,xxx|^x$,11,209094,-7594,21142,false,
anchors,5,25,3857069214,k$,42,199023,-11423,33205,false,
backrefs,5,8,2463075891,t|^p[^p]rp|v|rou|l$,32,461935,-20922,27470,false,
powers-2,5,16,1069782534,xxx|^x$,11,207455,-7860,20282,false,
powers,5,16,1069782534,^x$,12,7945,-453,21439,false,
backrefs,5,9,9135874206,ou[^c]|v|t|l$,31,138358,-6250,27173,false,
anchors,5,26,9125784630,k$,42,180615,-11375,36189,false,
powers-2,5,17,3018795246,xxx|^x$,11,321462,-11454,20876,false,
powers,5,17,3018795246,^xx$|^x$,13,327134,-12032,21704,false,
powers-2,5,18,1736058429,xxx|^x$,11,293182,-10204,20298,false,
powers,5,18,1736058429,^xx$|^x$,13,19854,-969,21345,false,
backrefs,5,10,7095231486,en|^t|^m|l$,31,475878,-22939,29861,false,
anchors,5,27,7914823056,k$,42,115278,-6625,35408,false,
powers-2,5,19,6087432195,xxx|^x$,11,295981,-10141,20407,false,
powers,5,19,6087432195,^xx$|^x$,13,24712,-1219,22126,false,
backrefs,5,11,9842301657,^b|v|[^p]t|rp|l$,32,221829,-10532,27283,false,
powers-2,5,20,4925731068,xxx|^x$,11,251949,-9188,21048,false,
anchors,5,28,1258360497,k$,42,454086,-26079,33735,false,
powers,5,20,4925731068,^xx[^]x$|^x$,13,62314,-2641,22361,false,
backrefs,5,12,2196735084,en|^m|^t|l$,31,579403,-25658,26611,false,
powers-2,5,21,3486027915,^xx[^]xxxxxx|^x$,12,253950,-9563,22079,false,
powers,5,21,3486027915,^xxxx$|^x$,13,175318,-6500,21673,false,
anchors,5,29,7965023841,k$,42,1106,-94,32892,false,
backrefs,5,13,9067852413,nt|r[^]u|^t|[^]l$,32,445332,-22126,28235,false,
powers-2,5,22,6941372580,xxx|^x$,11,269194,-9501,20704,false,
powers,5,22,6941372580,^xx$|^x$,13,509363,-18485,21767,false,
balance,5,1,4105328976,^<>$|>>$,54,166343,-7625,26923,false,
powers-2,5,23,1068243795,xxx|^x$,11,232824,-8329,20407,false,
backrefs,5,14,2405681973,rp|f|[^p]t,30,284360,-13094,25923,false,
powers,5,23,1068243795,^xx$|^x$,13,19599,-1062,22641,false,
powers-2,5,24,1764028593,xxx|^x$,11,219152,-8156,20797,false,
balance,5,1,6370951248,^<>$|>>$,54,493951,-23423,27955,false,
powers,5,24,1764028593,^x$,12,590946,-21079,21454,false,
backrefs,5,15,2738495106,r[^l]u|v|t|a$,31,577247,-25298,26595,false,
powers-2,5,25,3857069214,xxx|^x$,11,544698,-19423,21361,false,
balance,5,2,9431657082,^<>$|>>$,54,111242,-5313,28564,false,
powers,5,25,3857069214,^xx$|^x$,13,338129,-12626,22251,false,
backrefs,5,16,1069782534,ir|rp|[^p]t|l$,31,276284,-12329,26236,false,
powers-2,5,26,9125784630,xxx|^x$,11,306243,-11235,21266,false,
powers,5,26,9125784630,^xx$|^x$,13,451063,-16657,22001,false,
balance,5,3,1874029365,^<<<<<>|>>>$,55,314552,-14563,28080,false,
backrefs,5,17,3018795246,nt|rp|^m|l$,31,147131,-6594,27642,false,
powers-2,5,27,7914823056,xxx|^x$,11,20100,-922,20876,false,
powers,5,27,7914823056,^xx$|^x$,13,239391,-9110,22048,false,
powers-2,5,28,1258360497,xxx|^x$,11,314951,-10704,20032,false,
balance,5,4,5691784320,^<>$|>>$,54,410874,-18939,28126,false,
backrefs,5,18,1736058429,ro|t|rp|l$,31,386392,-17267,28970,false,
powers,5,28,1258360497,^x$|^xx$,13,151307,-5844,22329,false,
powers-2,5,29,7965023841,xxx|^x$,11,472279,-16626,20814,false,
balance,5,5,8392760514,^<>$|>>$,54,494304,-23314,28205,false,
backrefs,5,19,6087432195,t|[^p]ou|l$,30,232596,-10282,26845,false,
powers,5,29,7965023841,^xx$|^x$,13,33613,-1438,22251,false,
balance,5,6,4612780539,>>$|^<>$,54,549455,-26063,28501,false,
backrefs,5,20,4925731068,nt|^t|rou|l$,31,300245,-13579,27205,false,
ranges,5,1,6370951248,[^wi]d|^d|ba|f$,40,135743,-6000,24142,false,
prime,5,1,4105328976,$,0,597807,-30423,30517,false,
balance,5,7,8261384957,^<<<[^]<>|>>>$,55,543356,-25814,28548,false,
backrefs,5,21,3486027915,^t|e[^y]a|ro|em|l$,33,141382,-7141,29298,false,
ranges,5,2,9431657082,ab|d|f$,38,69492,-2953,23564,false,
prime,5,1,6370951248,$,0,596255,-30127,30283,false,
balance,5,8,2463075891,^<>$|>>$,54,317042,-15048,28439,false,
backrefs,5,22,6941372580,f|v|[^]al|rp|t|g^$,32,49743,-2422,27908,false,
backrefs,5,23,1068243795,em|vy|^t|l$,30,255043,-11234,26188,false,
balance,5,9,9135874206,^<>$|>>$,54,110603,-5204,28798,false,
prime,5,2,9431657082,$,0,4830,-360,31002,false,
ranges,5,6,4612780539,f|ba|[^i]d|^d$,39,355558,-15470,27361,false,
backrefs,5,24,1764028593,[^s]on|^a|f|v|t|a$,32,249288,-12657,28079,false,
balance,5,10,7095231486,^<>$|>>$,54,565162,-26845,28376,false,
prime,5,3,1874029365,$,0,3468,-235,30439,false,
backrefs,5,25,3857069214,[^x]t|^a|ou|l$,31,331034,-14376,26048,false,
balance,5,11,9842301657,^<>$|>>$,54,209440,-10579,28314,false,
ranges,5,10,7095231486,^a|f|^d|b,39,447747,-19376,26220,false,
prime,5,4,5691784320,$,0,3144,-219,31017,false,
backrefs,5,26,9125784630,^t|ro|^m|l$,31,236627,-10032,27126,false,
balance,5,12,2196735084,^<>$|>>$,54,111948,-5329,28533,false,
ranges,5,12,2196735084,de|f[^t]|ab|d$,40,314731,-13954,25611,false,
backrefs,5,27,7914823056,r[^]u|t|^a,30,526469,-21970,24626,false,
prime,5,5,8392760514,,0,1,-16,30205,false,
balance,5,13,9067852413,^<>$|>>$,54,554308,-25876,28142,false,
backrefs,5,28,1258360497,rp|^f|on|t,30,503539,-21470,25298,false,
ranges,5,14,2405681973,f|ab|de|d$,39,529005,-22861,25923,false,
balance,5,14,2405681973,^<>$|>>$,54,504039,-25720,30798,false,
prime,5,6,4612780539,^,0,4494,-375,29314,false,
backrefs,5,29,7965023841,ro|nt|^t|l$,31,181248,-8922,27939,false,
ranges,5,15,2738495106,ff|d|ba|^a$,39,72110,-4235,25876,false,
balance,5,15,2738495106,^<>$|>>$,54,96858,-4781,28595,false,
prime,5,7,8261384957,$,0,1,0,30470,false,
books,5,1,4105328976,w|b|p,13,535410,-27751,31283,false,
ranges,5,16,1069782534,d[^i]|b|^f,39,182752,-7454,26251,false,
balance,5,16,1069782534,^<>$|>>$,54,148607,-7344,28220,false,
prime,5,8,2463075891,^,0,5175,-375,30189,false,
ranges,5,17,3018795246,ab|f|[^i]d|^d,40,403841,-16579,24908,false,
books,5,1,6370951248,b|w|p,13,518446,-34048,37564,false,
balance,5,17,3018795246,^<>$|>>$,54,333073,-16376,28642,false,
prime,5,9,9135874206,$,0,4142,-328,31783,false,
books,5,2,9431657082,w|b|p,13,381369,-19314,30595,false,
balance,5,18,1736058429,^<>$|>>$,54,552550,-26220,28611,false,
ranges,5,20,4925731068,ba|[^i]d|^d,39,378348,-15735,25626,false,
books,5,3,1874029365,w|b|p,13,458281,-22641,30454,false,
balance,5,19,6087432195,^<>$|>>$,54,211236,-9876,28564,false,
prime,5,10,7095231486,,0,1,0,29767,false,
ranges,5,21,3486027915,ff|ba|^a|d,39,86655,-4344,26783,false,
balance,5,20,4925731068,<<>[^<]<>>|><<^>|>>>>$,55,176798,-8266,27080,false,
books,5,4,5691784320,w|b|p,13,212197,-10344,29377,false,
ranges,5,23,1068243795,ba|f|^d|d$,39,386598,-16376,25283,false,
