Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
four,9,0,f|^ta|bil|ara|o[W-j]|s[^w]$,38,82376,5714,26764,false
four,9,1,f|^ta|bil|ara|o[W-j]|s[^w]$,38,82376,5502,28219,false
four,9,2,bi|s[^w]$|[^rw]o[W-j]|^[W-j][W-f],39,164186,9340,25982,false
four,9,3,j|W|v[f-j]|i[f-j]|[^rw]o[W-j],38,27302,1288,31686,false
four,9,4,[W-j]o|a$,33,1214,77,12928,false
four,9,5,^d|o[^rw]o|sm|a$,38,33837,1852,30031,false
four,9,6,v[f-j]|po|^d[W-j]|o[W-j]o|a$,39,278466,15300,32783,false
four,9,7,el|l^W|o[^]o|f|v[f-j]|a$,39,416647,21298,32535,false
four,9,8,f|W|ty|o[^w]o|c[W-f]$,38,117698,6542,27971,false
four,9,9,[^rt]s[^hw]|j|o[W-j],36,16896,730,17576,false
four,9,10,^[W-j][W-j]|il|do[^eu]|om|M[W-f]|o$,40,199868,10595,31610,false
four,9,11,^W|el|o[W-j]|[W-j]s[^ah]|a$,38,223930,12294,37818,false
four,9,12,j|s[^hu]|o[W-j],36,4152,286,14419,false
four,9,13,j|W|o[^w]o|il|s[^cg]$,38,238905,15829,28691,false
four,9,14,^[W-j][W-j]|[W-j]o|W|ak|il|st$,38,597779,28671,29136,false
four,9,15,[^rt]s[^hw]|j|o[W-j],36,21476,975,32389,false
four,9,16,^Mphgor|o[W-j]|s[^ah]|a$,36,26698,1541,21388,false
four,9,17,j|f|W|v[f-j]|o[W-j],35,16342,652,27081,false
four,9,18,l[^sd]v|^j|v[f-j]|W|^d|o[W-j],37,138966,7039,24518,false
four,9,19,j|[W-j]s[^ah]|M[W-f]|W|o[W-j],38,58977,3444,77574,true
four,9,20,^d|el|op|[^rw]o[W-j]|a$,38,457993,35296,44818,false
four,9,21,f|v[f-j]|^d|el|o[^w]o|a$,40,279902,14864,29960,false
four,9,22,bi|do|[^rw]o[W-j]|^[W-j][W-f]|ka$,39,66492,3245,30001,false
four,9,23,f|L^it|c[W-f]$|W|vi|o[^au]o,39,185378,11328,29736,false
four,9,24,f|om|o[W-j]|[W-f]r[W-f]|v[^en],38,274725,13245,25433,false
four,9,25,W|j|Loe[W-j]|o[^]o|^Ma|bil|^d|sm$,41,268803,20537,37585,false
four,9,26,si|o[^la]o|a$,37,11925,560,28627,false
four,9,27,c[W-f]$|W|^ps|o[^rw]o|n$,38,21953,1293,21816,false
four,9,28,j|M[W-f]|W|o[^w]o|^d|m$,38,68160,3476,30409,false
four,9,29,po|[W-j]o|n[^rw]e|a$,39,110546,5070,23662,false

order,9,0,^[^putjs][^ar],39,185164,5900,23236,false
order,9,1,^[^putjs][^ar],39,185164,6155,22449,false
order,9,2,^[^sujp][^ra],38,468805,16863,21384,false
order,9,3,^[^sujp][^ar][^ab],40,303456,10063,19573,false
order,9,4,^[^sujp][^ar],38,61465,1927,18732,false
order,9,5,^[^pujs][^ar],38,469846,14226,18190,false
order,9,6,lo|c[^iku]|os,37,253834,7601,18522,false
order,9,7,^[^pujs][^ra],38,207375,7339,25531,false
order,9,8,^c|be|de|[^oa][^ei]o|y$,39,251140,12138,24162,false
order,9,9,^[^stjup][^ar],39,323203,12299,25292,false
order,9,10,^[^sujp][^ar][^ab],40,24922,1924,30704,false
order,9,11,^[^pjs][^arnzs],39,52381,2208,22547,false
order,9,12,^[^pujs][^ar],38,53311,1997,24233,false
order,9,13,^[^pujs][^ar],38,303059,11892,21538,false
order,9,14,^[^sujp][^ar],38,422202,16262,21611,false
order,9,15,^[^sujp][^ar],38,179815,6461,20501,false
order,9,16,^[^sujp][^ar],38,584430,21760,22251,false
order,9,17,ga|^[^sutjp][^ar],39,536265,18134,20066,false
order,9,18,^[^putjs][^ar][^ab],41,232541,7688,18495,false
order,9,19,^[^tsrujp][^ar],40,427851,14050,19264,false
order,9,20,^[^sprujt][^ar],40,179220,6861,20683,false
order,9,21,^[^sujp][^ar],38,160870,5707,22720,false
order,9,22,^[^sujp][^ar],38,382154,12241,18829,false
order,9,23,^[^pujs][^ar][^ab],40,76206,5072,21746,false
order,9,24,lo|^c|^a|fi|sy$,39,418265,15153,21155,false
order,9,25,^[^sputjr][^ar],40,361960,12836,20939,false
