Nome,Depth,i,Melhor_solucao,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out

abba,9,1,z|u|fv[^w]^xz|st|t$,36,17191,897,60845,true
abba,9,1,z|u|fv[^w]^xz|st|t$,36,17191,882,61586,true
abba,9,2,z|[^x]u|^a|te|c$,38,9159,470,60317,true
abba,9,3,N/A,0,0,60795,60795,true
abba,9,4,z|u|t$,33,1345,77,60709,true
abba,9,5,N/A,0,0,60758,60758,true
abba,9,6,^n|c[^ic]l|z|u,35,28125,1320,61012,true
abba,9,7,z|u|^a[^nb]|t$,36,14361,731,60598,true
abba,9,8,z|u|rzb|[^cd]h|t$,37,31606,1542,60841,true
abba,9,9,z|u,32,12021,633,60346,true
abba,9,10,z|u[^nx],34,1528,99,60782,true
abba,9,11,z|u|lt^r[^d]u|y,33,1886,141,61478,true
abba,9,12,z|u[^nx],34,7371,504,60075,true
abba,9,13,z|st|ns|o[^en]o|u,37,3574,245,60144,true
abba,9,14,N/A,0,0,60008,60008,true
abba,9,15,z|u|l$,33,3641,213,61708,true
abba,9,16,z|u|st|te$,36,13563,1042,61036,true
abba,9,17,^a|u[^n]|^v|z|vo$,36,14742,909,61503,true
abba,9,18,z|rs|[^x]u,35,44442,2474,60358,true
abba,9,19,y|u|^n|z|t$,35,8443,513,61324,true
abba,9,20,N/A,0,0,61413,61413,true
abba,9,21,^n|a[^x][^xg]m|z|u|l$,36,3661,310,60029,true
abba,9,22,z|u|ca|te|^snf$,36,2951,242,60250,true
abba,9,23,z|u[^nx],34,3647,324,60638,true
abba,9,24,u|z|ul|^a|c$,34,2081,166,60494,true
abba,9,25,z|u[^na],34,886,69,60943,true
abba,9,26,^n|vntccm|z|u|l$,34,2911,264,61188,true
abba,9,27,^g|^v|^n|p|u,34,5594,346,60658,true
abba,9,28,[^u]z|u|st,35,8011,458,61550,true
abba,9,29,z|c^z|ph|u,35,10802,1132,61122,true

aman-aplan,9,1,^k|^r|e[^ry]$|rd,35,21998,1205,38212,false
aman-aplan,9,1,^k|^r|e[^ry]$|rd,35,21998,1708,40259,false
aman-aplan,9,2,x|^k|^t|^r|v|d|w^x|oo,35,352241,20827,35508,false
aman-aplan,9,3,^n|x|d$|ev|^m|^k|^t|^r,35,468337,26089,33439,false
aman-aplan,9,4,^n|x|d$|ev|^m|^k|^t|^r,35,284712,15487,31723,false
aman-aplan,9,5,^n|x|d$|ev|^m|^k|^t|^r,35,186766,9972,33728,false
aman-aplan,9,6,x|^k|^t|^r|d$|v[^am][^y]$,35,350736,22079,40554,false
aman-aplan,9,7,^n|x|d$|ev|^m|^k|^t|^r,35,290451,19103,38557,false
aman-aplan,9,8,^k|x|^m|^t|^r|d$,34,431062,26869,35466,false
aman-aplan,9,9,^n|x|d$|v|^m|^k|^t|^r,34,83827,4711,60438,true
aman-aplan,9,10,^n|x|d$|ev|^m|^k|^t|^r,35,422991,22875,32632,false
aman-aplan,9,11,^n|x|d$|ev|^m|^k|^t|^r,35,153942,9015,33358,false
aman-aplan,9,12,[^nf]k|^r|t^ox|e[^ry]$|rd,35,105700,6052,32781,false
aman-aplan,9,13,x|^k|^t|^r|v|d|l[^b]h|o[^ly]$,36,504454,28200,33343,false
aman-aplan,9,14,x|^k|^r|d$|^t|mu,34,291579,16110,32432,false
aman-aplan,9,15,x|^k|^t|^r|d$|v[^tm][^y]$,35,49218,3082,32008,false
aman-aplan,9,16,^n|x|d$|ev|^m|^k|^t|^r,35,232654,13446,34444,false
aman-aplan,9,17,x|^k|^t|^r|v|d|sx|o[^ly]$,35,80758,4298,60820,true
aman-aplan,9,18,^n|x|d$|ev|^m|^k|^t|^r,35,236495,12885,31960,false
aman-aplan,9,19,^l|x|^m|^r|la|^t|^k|d$,35,148850,8318,31985,false
aman-aplan,9,20,^n|x|d$|ev|^m|^k|^t|^r,35,591895,33036,33305,false
aman-aplan,9,21,^n|x|d$|ev|^m|^k|^t|^r,35,196426,10417,32046,false
aman-aplan,9,22,^n|x|d$|ev|^m|^k|^t|^r,35,416644,24470,34619,false
aman-aplan,9,23,x|^k|^t|^r|v|d|oo|h$,35,240418,14093,33761,false
aman-aplan,9,24,^n|x|d$|ev|^m|^k|^t|^r,35,113996,6824,33285,false
aman-aplan,9,25,^l|x|^m|^k|^t|^r|d$,34,185286,10432,29528,false
aman-aplan,9,26,^t|x|^m|^k|^r|d$,34,255208,23324,45071,false
aman-aplan,9,27,[^nu]k|^r|e[^ry]$|rd,35,280457,17552,36168,false
aman-aplan,9,28,x|^k|^t|^r|v|d|b^x|oo|la,36,498937,28088,34334,false
aman-aplan,9,29,x|^k|^t|oo|^r[^u]|d|v,35,517061,29732,34650,false

anchors,9,1,^[^kKNf]|w[^h]ip$,26,2768,199,11679,false
anchors,9,1,^[^kKNf]|w[^h]ip$,26,2768,209,12567,false
anchors,9,2,ic[^y]$,42,97241,6094,19327,false
anchors,9,3,[^th]c[^y]$,42,626,54,14386,false
anchors,9,4,c[^hy]$,42,22279,995,11996,false
anchors,9,5,M|k$,42,52134,2883,16795,false
anchors,9,6,M|a[^tp]|R|ti,30,53332,3217,14689,false
anchors,9,7,c[^hy]$,42,15285,901,13621,false
anchors,9,8,M|a[^tp]|t[^cr][^y],30,15802,831,11369,false
anchors,9,9,^[^kKNf]|dlhm$,26,7314,466,10659,false
anchors,9,10,^oo|k$,42,72800,3274,12651,false
anchors,9,11,[^ss]k$,42,3283,163,10407,false
anchors,9,12,k$,42,71725,4399,17750,false
anchors,9,13,k$,42,18182,865,17536,false
