Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
anchors,3,17,3018795246,upp[k-s]|[c-s]k$,21,42,251989,43658,101146,true
aman-aplan,3,13,9067852413,^[h-k]|v|d|\b[n-t][e-o],13,34,132247,22891,119209,true
anchors,3,18,1736058429,[^]k$,21,42,146775,24548,100725,true
aman-aplan,3,14,2405681973,x|r[^u]r|^t|^[i-n]|ah|gd|\br|[a-d]$,15,36,475946,91708,116756,true
triples,3,1,6370951248,[^]5[1-5][0-7]|[0-6]0[0-6]1|$,11,32,125517,23188,148147,true
anchors,3,19,6087432195,p^k|o$,21,42,405058,71207,104068,true
aman-aplan,3,15,2738495106,x|^r|^t|^k|v|d|[no]o[o-t]|ah,15,36,569909,108771,119584,true
triples,3,2,9431657082,900|8^5|[4-7]75|4\w[0-4]|0[0-7]9?[2-5]*$,15,36,231999,49127,122521,true
powers,3,11,9842301657,^xx?$,2,13,379413,355923,437974,true
anchors,3,20,4925731068,k$,21,42,107732,18188,97552,true
aman-aplan,3,16,1069782534,x|^r|^t|^[h-k]|v|d,12,33,94750,16172,111411,true
triples,3,3,1874029365,60|^3|4[^2]2|6\b|[345]5|[3-9]7[456]$,14,35,74676,14657,133289,true
anchors,3,21,3486027915,k$,21,42,127738,24735,102270,true
aman-aplan,3,17,3018795246,x|^r|^t|^[i-n]|cxi^|[a-d]$,14,35,542681,98146,112756,true
anchors,3,22,6941372580,k$,21,42,424782,71925,103052,true
triples,3,4,5691784320,[^]5[0-7][0-8]|00[2-9]|[01]2,14,35,34092,6656,133273,true
aman-aplan,3,18,1736058429,^[h-k]|v|d|\b[n-t][e-o]b|[n-x][e-o][n-t]$,15,36,331534,60800,119288,true
anchors,3,23,1068243795,k$,21,42,25244,4531,98786,true
triples,3,5,8392760514,5[0-7][0-8]|0[012],11,32,553348,104271,112834,true
powers,3,12,2196735084,^xx(x*|$)\1\b,6,17,287942,227652,362439,true
anchors,3,24,1764028593,k$,21,42,13783,2828,102302,true
