Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_outwarmup,5,1,2967301147,foo,foo,207,210,21,0,209023,300002,14,20,false
warmup,5,1,5600405384,foo,foo,207,210,21,0,256862,300000,15,18,false
warmup,5,2,1632819610,foo,foo,207,210,21,0,50616,300000,4,19,false
warmup,5,3,1412034944,foo,foo,207,210,21,0,111600,300000,7,18,false
warmup,5,4,9724161943,foo,foo,207,210,21,0,26322,300000,2,18,false
warmup,5,5,4037724866,foo,foo,207,210,21,0,79946,300002,6,19,false
warmup,5,6,8370032799,f.o,f.o,207,210,21,0,200120,300000,13,19,false
warmup,5,7,2767986875,foo,foo,207,210,21,0,7786,300002,0,18,false
warmup,5,8,3141506592,foo,foo,207,210,21,0,116261,300000,7,18,false
warmup,5,9,3313543896,foo,foo,207,210,21,0,128459,300002,7,18,false
warmup,5,10,8657690939,foo,foo,207,210,21,0,136913,300000,9,18,false
warmup,5,11,9696640194,foo,foo,207,210,21,0,276374,300000,17,18,false
warmup,5,12,6621545651,foo,foo,207,210,21,0,89575,300002,6,19,false
warmup,5,13,2492462788,foo,foo,207,210,21,0,177864,300002,12,19,false
warmup,5,14,3404588599,foo,foo,207,210,21,0,16951,300000,1,18,false
warmup,5,15,2330977742,foo,foo,207,210,21,0,261033,300000,15,18,false
warmup,5,16,6361187489,foo,foo,207,210,21,0,116053,300000,7,18,false
warmup,5,17,2805026820,foo,foo,207,210,21,0,261204,300000,16,18,false
warmup,5,18,4323456912,foo,foo,207,210,21,0,127600,300000,8,18,false
warmup,5,19,8361101999,foo,foo,207,210,21,0,159342,300000,11,18,false
warmup,5,20,9935136846,foo,foo,207,210,21,0,274657,300000,17,18,false
warmup,5,21,5217407358,foo,foo,207,210,21,0,194729,300000,12,18,false
warmup,5,22,5619256299,foo,foo,207,210,21,0,219929,300000,13,18,false
warmup,5,23,4560422870,foo,foo,207,210,21,0,93682,300002,7,18,false
warmup,5,24,5236888092,foo,foo,207,210,21,0,47038,300002,3,18,false
warmup,5,25,1337360711,foo,foo,207,210,21,0,162853,300000,10,18,false
warmup,5,26,7659837985,foo,foo,207,210,21,0,59082,300000,4,19,false
warmup,5,27,2521100877,foo,foo,207,210,21,0,144449,300002,9,19,false
warmup,5,28,8801535107,foo,foo,207,210,21,0,150689,300000,9,19,false
warmup,5,29,9651599436,foo,foo,207,210,21,0,111931,300000,7,20,false
anchors,5,1,2967301147,k$,k$,208,210,21,0,204498,300000,14,20,false
anchors,5,1,5600405384,k$,k$,208,210,21,0,9046,300000,1,20,false
anchors,5,2,1632819610,k$,k$,208,210,21,0,240493,300000,16,19,false
anchors,5,3,1412034944,k$,k$,208,210,21,0,91156,300000,6,19,false
anchors,5,4,9724161943,[ijk]$,[ijk]$,204,210,21,0,279564,300000,18,19,false
anchors,5,5,4037724866,k$,k$,208,210,21,0,95442,300000,6,19,false
anchors,5,6,8370032799,k$,k$,208,210,21,0,276955,300002,17,19,false
anchors,5,7,2767986875,k$,k$,208,210,21,0,246242,300000,16,18,false
anchors,5,8,3141506592,k$,k$,208,210,21,0,269231,300000,17,18,false
anchors,5,9,3313543896,k$,k$,208,210,21,0,2657,300000,0,20,false
anchors,5,10,8657690939,k$,k$,208,210,21,0,14016,300000,1,20,false
anchors,5,11,9696640194,k$,k$,208,210,21,0,258318,300000,16,18,false
anchors,5,12,6621545651,k$,k$,208,210,21,0,195738,300000,12,18,false
anchors,5,13,2492462788,k$,k$,208,210,21,0,196826,300000,12,18,false
anchors,5,14,3404588599,k$,k$,208,210,21,0,116290,300002,8,20,false
anchors,5,15,2330977742,k$,k$,208,210,21,0,274495,300000,17,19,false
anchors,5,16,6361187489,k$,k$,208,210,21,0,147380,300000,9,19,false
anchors,5,17,2805026820,k$,k$,208,210,21,0,139531,300000,9,19,false
anchors,5,18,4323456912,k$,k$,208,210,21,0,99937,300000,6,20,false
anchors,5,19,8361101999,k$,k$,208,210,21,0,4,300000,0,18,false
anchors,5,20,9935136846,k$,k$,208,210,21,0,71306,300000,5,19,false
anchors,5,21,5217407358,k$,k$,208,210,21,0,240420,300000,16,19,false
anchors,5,22,5619256299,ic.$,ic.$,206,210,21,0,150136,300000,9,18,false
anchors,5,23,4560422870,k$,k$,208,210,21,0,205804,300002,12,18,false
anchors,5,24,5236888092,k$,k$,208,210,21,0,79868,300000,6,19,false
anchors,5,25,1337360711,k$,k$,208,210,21,0,3704,300000,0,18,false
anchors,5,26,7659837985,k$,k$,208,210,21,0,55910,300000,4,19,false
anchors,5,27,2521100877,k$,k$,208,210,21,0,81771,300000,5,19,false
anchors,5,28,8801535107,k$,k$,208,210,21,0,219344,300002,14,18,false
anchors,5,29,9651599436,k$,k$,208,210,21,0,249334,300000,16,19,false
ranges,5,1,2967301147,^[a-f]*$,^[a-f]*$,202,210,21,0,67036,300000,4,18,false
ranges,5,1,5600405384,^[a-f]*$,^[a-f]*$,202,210,21,0,203557,300002,14,19,false
ranges,5,2,1632819610,^[a-f]*$,^[a-f]*$,202,210,21,0,21604,300000,2,19,false
ranges,5,3,1412034944,^[a-f]*$,^[a-f]*$,202,210,21,0,176388,300000,12,19,false
ranges,5,4,9724161943,^[a-f]*$,^[a-f]*$,202,210,21,0,178830,300002,12,19,false
ranges,5,5,4037724866,^[a-f]*$,^[a-f]*$,202,210,21,0,202438,300000,13,19,false
