Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
ranges,5,20,9935136846,^[a-f]*$,^[a-f]*$,202,210,21,0,14767,300000,2884,37065,false
warmup,5,22,5619256299,foo,foo,207,210,21,0,4601,300000,1477,35455,false
anchors,5,21,5217407358,k$,k$,208,210,21,0,234714,300000,30802,37339,false
backrefs,5,18,4323456912,[tpmu][d-s]{2},[mptu][d-s]{2},106,210,17,5,254821,300000,31793,37120,false
ranges,5,21,5217407358,^[a-f]*$,^[a-f]*$,202,210,21,0,82423,300000,11875,37511,false
warmup,5,23,4560422870,f.o,f.o,207,210,21,0,61230,300000,9760,37357,false
anchors,5,22,5619256299,ic.$,ic.$,206,210,21,0,150136,300000,18494,35683,false
backrefs,5,19,8361101999,[e-h][^ld][a-t].[b-u],[e-h][^dl][a-t].[b-u],129,210,17,2,81876,300000,13030,40737,false
warmup,5,24,5236888092,foo,foo,207,210,21,0,3215,300000,1080,33234,false
ranges,5,22,5619256299,^[a-f]*$,^[a-f]*$,202,210,21,0,8900,300000,2518,36543,false
anchors,5,23,4560422870,k$,k$,208,210,21,0,205804,300000,23551,33558,false
backrefs,5,20,9935136846,[e-t][b-u].[o-v][e-y],[e-t][b-u].[o-v][e-y],129,210,18,3,95047,300000,13334,39180,false
warmup,5,25,1337360711,foo,foo,207,210,21,0,8684,300000,2262,34198,false
ranges,5,23,4560422870,^[a-f]*$,^[a-f]*$,202,210,21,0,52588,300000,8680,37200,false
anchors,5,24,5236888092,k$,k$,208,210,21,0,73141,300000,10884,36341,false
backrefs,5,21,5217407358,^[^kdngw][tu]*[a-t][d-t],^[^dgknw][tu]*[a-t][d-t],116,210,19,5,262076,300000,32741,37114,false
warmup,5,26,7659837985,f.o,f.o,207,210,21,0,4479,300000,1354,37374,false
ranges,5,24,5236888092,^[a-f]*$,^[a-f]*$,202,210,21,0,21820,300000,4088,37917,false
anchors,5,25,1337360711,k$,k$,208,210,21,0,3704,300000,1194,35985,false
backrefs,5,22,5619256299,[e-u][e-t].[e-v][l-y].,[e-u][e-t].[e-v][l-y].,118,210,17,3,132480,300000,18241,44930,false
warmup,5,27,2521100877,foo,foo,207,210,21,0,3193,300000,1025,35034,false
ranges,5,25,1337360711,^[a-f]*$,^[a-f]*$,202,210,21,0,14019,300000,2961,38071,false
anchors,5,26,7659837985,k$,k$,208,210,21,0,55910,300000,7702,36843,false
warmup,5,28,8801535107,foo,foo,207,210,21,0,3192,300000,1029,37472,false
backrefs,5,23,4560422870,[d-t][^loa].[o-v],[d-t][^alo].[o-v],123,210,19,5,111538,300000,16843,42711,false
ranges,5,26,7659837985,^[a-f]*$,^[a-f]*$,202,210,21,0,203201,300000,24723,34232,false
anchors,5,27,2521100877,k$,k$,208,210,21,0,49060,300000,7224,36730,false
warmup,5,29,9651599436,foo,foo,207,210,21,0,4103,300000,1245,36475,false
backrefs,5,24,5236888092,[e-h][a-u][a-t][^s][f-y],[e-h][a-u][a-t]s[f-y],126,210,17,2,222424,300000,30931,41651,false
ranges,5,27,2521100877,^[a-f]*$,^[a-f]*$,202,210,21,0,64818,300000,9767,37579,false
anchors,5,28,8801535107,k$,k$,208,210,21,0,219344,300000,27321,35627,false
warmup,5,1,2967301147,foo,foo,207,210,21,0,3241,400000,1121,41729,false
anchors,5,29,9651599436,k$,k$,208,210,21,0,239379,300000,28327,34107,false
ranges,5,28,8801535107,^[a-f]*$,^[a-f]*$,202,210,21,0,21276,300000,3952,35777,false
backrefs,5,25,1337360711,[^upd][b-u][a-h][l-y][h-u],[^dpu][b-u][a-h][l-y][h-u],114,210,15,1,49141,300000,8983,45297,false
ranges,5,29,9651599436,^[a-f]*$,^[a-f]*$,202,210,21,0,7066,300000,1849,34039,false
