Nome,Depth,i,seed,regex,regex_shrunk,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
warmup,5,17,3018795246,foo,foo,21,42,278359,47158,97927,true
abba,5,17,3018795246,^yv|[^co](v|h|u)|[c-t][i-s][i-s][t-z]\1,^yv|[^co](v|h|u)|[c-t][i-s][i-s][t-z]\1,19,41,211463,40283,106397,true
order,5,10,7095231486,^c|[bcd][e-h]|[t-y]$,^c|[bcd][e-h]|[t-y]$,19,40,523264,89896,104162,true
warmup,5,18,1736058429,foo,foo,21,42,473804,73848,93584,true
abba,5,18,1736058429,[^alem][t-z]|u[rst]$,[^alem][t-z]|u[rst]$,15,37,280749,45783,101162,true
powers,1,19,6087432195,^x?x?(^xxxx)?\1*$,^x?x?(^xxxx)?\1*$,7,18,460445,292701,857759,true
warmup,5,19,6087432195,[fg]oo,[fg]oo,21,42,82137,13297,99287,true
order,5,11,9842301657,^a[c-l]|e[^w]f|jd|[st][t-z]\b|[o-r][o-y]\b|y[f-r][l-t]u,^a[c-l]|e[^w]f|jd|[st][t-z]\b|[o-r][o-y]\b|y[f-r][l-t]u,20,41,494338,91427,120881,true
abba,5,19,6087432195,[u-y][i-t]|z|u|l$,[u-y][i-t]|z|u|l$,14,36,417105,64551,97443,true
warmup,5,20,4925731068,[fg]oo,[fg]oo,21,42,263666,42846,100005,true
order,5,12,2196735084,[st][t-z]\b|[o-r][o-y]\b|k[^]^gy,[st][t-z]\b|[o-r][o-y]\b|k.^gy,17,38,448057,85724,119506,true
abba,5,20,4925731068,v|z|[mno][i-n][c-t]|u[o-t]|t[a-h][i-t],v|z|[mno][i-n][c-t]|u[o-t]|t[a-h][i-t],18,40,230708,39158,106412,true
warmup,5,21,3486027915,foo,foo,21,42,289259,46846,101224,true
powers,1,20,4925731068,xxxx^x|^(x*x?)\1$,xxxx^x|^(x*x?)\1$,6,17,420782,145866,241277,true
order,5,13,9067852413,[a-d]e|[f-t][o-t][o-z]$,[a-d]e|[f-t][o-t][o-z]$,20,41,65927,11375,128146,true
abba,5,21,3486027915,[^co](v|h|u)|i[t-z]\1,[^c-o](v|h|u)|i[t-z]\#,18,40,549812,88364,97895,true
warmup,5,22,6941372580,foo,foo,21,42,387314,61801,99568,true
abba,5,22,6941372580,[^c\1](h|z|u)v|,[^c\#](h|z|u)v|,16,38,185458,31189,97255,true
order,5,14,2405681973,^a|o[^]s|m[o-z]|[h-n][o-z][o-z]|y$,^a|o[^]s|m[o-z]|[h-n][o-z][o-z]|y$,17,38,524960,105724,123725,true
warmup,5,23,1068243795,foo,foo,21,42,491008,82114,101115,true
abba,5,23,1068243795,[c-t][tuv]z|,[c-t][tuv]z|,15,37,592027,90692,92380,true
order,5,15,2738495106,^[a-f][c-l]|imno|o\w[s-y],^[a-f][c-l]|imno|o\w[s-y],20,41,101862,17797,109584,true
warmup,5,24,1764028593,foo,foo,21,42,406107,62129,92771,true
powers,1,21,3486027915,^x?x$,^x?x$,2,13,253363,133819,299608,true
abba,5,24,1764028593,v|hi|\B[u-z][e-t],v|hi|\B[u-z][e-t],16,38,481213,82958,103896,true
warmup,5,25,3857069214,foo,foo,21,42,579061,104350,107834,true
order,5,16,1069782534,o\w[s-y]|^[a-f][c-l]|lw[t-y]$,o\w[s-y]|^[a-f][c-l]|lw[t-y]$,20,41,217008,38533,116741,true
abba,5,25,3857069214,[c-t][tuv]z|,[c-t][tuv]z|,15,37,449542,68628,92020,true
warmup,5,26,9125784630,foo,foo,21,42,543753,88349,98224,true
order,5,17,3018795246,^[abc][cde][c-l]|md|[f-t][o-y][o-z]$,{0}^[abc][cde][c-l]|md|[f-t][o-y][o-z]$,20,41,386109,71113,117725,true
abba,5,26,9125784630,[f-t]([t-z]|h),[f-t]([t-z]|h),14,36,261900,40767,90864,true
warmup,5,27,7914823056,foo,foo,21,42,362642,62082,99193,true
order,5,18,1736058429,^[a-f][c-l]|rl[t-z]mo|o\w[s-y],^[a-f][c-l]|rl[t-z]mo|o\w[s-y],20,41,398940,67942,109475,true
abba,5,27,7914823056,[^]u|i^s|[p-s][f-t]i|\B[h-s][c-i][t-z],.u|i^s|[p-s][f-t]i|\B[h-s][c-i][t-z],19,41,301202,50111,108270,true
warmup,5,28,1258360497,[fg]oo,[fg]oo,21,42,269461,48736,102224,true
order,5,19,6087432195,[st][t-z]\b|[o-r][o-y]\b|y^ns|[a-d]e|^s$,[st][t-z]\b|[o-r][o-y]\b|y^ns|[a-d]e|^s$,20,41,319861,59519,115490,true
abba,5,28,1258360497,^r|ls|[^aotn][tu]|ur|z,^r|ls|[^aotn][tu]|ur|z,19,41,509778,82770,103677,true
warmup,5,29,7965023841,foo,foo,21,42,131572,22766,98677,true
abba,5,29,7965023841,[^\1](h|u|n)[i-v][c-z],[^\#](h|u|n)[i-v][c-z],17,39,45564,8375,94223,true
order,5,20,4925731068,^[a-g][c-o][c-t][e-t]|s[wxy],^[a-g][c-o][c-t][e-t]|s[wxy],21,42,74870,12688,106506,true
anchors,1,1,4105328976,n^nak|k$,n^nak|k$,21,42,560501,91224,101990,true
aman-aplan,1,1,4105328976,x|^r|^t|^[h-k]|v|d,x|^r|t|[h-k]|v|d{0},12,33,460859,80114,107115,true
order,5,21,3486027915,[f-o][o-t][p-t]|[abc][c-h],[f-o][o-t][p-t]|[abc][c-h],19,40,70732,12125,121099,true
anchors,1,1,6370951248,k$,k$,21,42,3,391,103912,true
aman-aplan,1,1,6370951248,x|^t|^[i-n]|^r|[a-d]$,x|^t|[i-n]|^r|[a-d]$,14,35,213160,37064,108646,true
order,5,22,6941372580,^[a-o][c-o][c-t][e-t],^[a-o][c-o][c-t][e-t],20,41,252911,42971,108709,true
anchors,1,2,9431657082,c[^h]$,c[^h]$,21,42,52746,8829,104944,true
