Nome,Depth,i,seed,regex,regex_shrunk,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
aman-aplan,3,6,4612780539,x|^t|^[i-n]|^r|[a-d]$,x|^t|[i-n]|^r|[a-d]$,14,35,320192,54424,103490,true
anchors,3,10,7095231486,k$,k$,21,42,409992,65410,96568,true
triples,1,24,1764028593,4401|9[01]|[^0]5[1-7][0-8]|^0|47$,4401|9[01]|[^0]5[1-7][0-8]|^0|47$,14,35,467973,92989,126397,true
aman-aplan,3,7,8261384957,x|^r|^t|^[i-n]|[a-d]$,x|^r|t|[i-n]|[a-d]$,14,35,408045,71567,109600,true
anchors,3,11,9842301657,k$,k$,21,42,186829,31111,96599,true
triples,1,25,3857069214,7^0110|86|0[^7]2|[2-5]4[1-8]|[01]0[2-9]|[567][0-5]$,7^0110|86|0[^7]2|[2-5]4[1-8]|[01]0[2-9]|[567][0-5]$,14,35,198544,41970,126678,true
aman-aplan,3,8,2463075891,^t|d$|v|^r|ka|h[^o]l|mu|oo|x,^t|d$|v|^r|ka|h[^o]l|mu|oo|x,16,37,257291,48502,109256,true
anchors,3,12,2196735084,k$,k$,21,42,474675,78238,99254,true
triples,1,26,9125784630,[^1]00|[34][012][2-7][0-7]|[1-9][1-9][0-8][0-7][0-4]$,[^1]00|[34][012][2-7][0-7]|[1-9][1-9][0-8][0-7][0-4]$,14,35,438513,88020,121569,true
aman-aplan,3,9,9135874206,x|^r|^t|^[i-n]|l^kgr|[a-d]$,x|^r|^t|^[i-n]|l^kgr|[a-d]$,14,35,145774,26033,115366,true
anchors,3,13,9067852413,^iek[c-l]M|k$,^iek[c-l]M|k$,21,42,96456,16891,114928,true
triples,1,27,7914823056,4\w[0-4]|[0-7][0-7][0-6]$,4\w[0-4]|[0-7]{0}[0-7][0-6]$,11,32,428669,83193,118804,true
aman-aplan,3,10,7095231486,^r|^[e-k][a-r]|r[tuv]|[e-i]\w$,^r|[e-k][a-r]|r[tuv]|[e-i]\w$,13,34,423643,73067,105803,true
anchors,3,14,2405681973,lk|d$,lk|d$,21,42,408156,67613,101287,true
triples,1,28,1258360497,^6680[^5]91|00|\w[0-5][1-5][2-9]4*[567]|72$|1[1-7]4|4$,^6680[^5]91|00|\w[0-5][1-5][2-9]4*[567]|72$|1[1-7]4|4$,15,36,531268,101817,126459,true
aman-aplan,3,11,9842301657,x|^r|^t|^[i-n]|[a-d]$,x|^r|t|[i-n]|[a-d]$,14,35,563652,100865,109475,true
anchors,3,15,2738495106,ua^k|e$,ua^k|e$,21,42,584008,108006,112100,true
anchors,3,16,1069782534,k$,k$,21,42,204144,33829,97380,true
triples,1,29,7965023841,5[3-6]|[34]\w[2-6][0-7][0-4]|[01]0,5{0}[3-6]|[34]\w[2-6][0-7][0-4]|[01]0,13,34,481493,106099,129007,true
aman-aplan,3,12,2196735084,^r|^t|^[i-n]|x|\1r|[a-d]$,^r|^t|^[i-n]|x|\1r|[a-d]$,14,35,379296,65488,119772,true
anchors,3,17,3018795246,upp[k-s]|[c-s]k$,upp[k-s]|[c-s]k$,21,42,251989,42924,99364,true
triples,3,1,4105328976,\B[56][3-7]\B|[12][1-5][0-9][0-6],\B[56][3-7]\B|[12][1-5][0-9][0-6],12,33,243039,42049,103068,true
aman-aplan,3,13,9067852413,^[h-k]|v|d|\b[n-t][e-o],^[h-k]|v|d|\b[n-t][e-o],13,34,132247,22720,118819,true
anchors,3,18,1736058429,[^]k$,.k$,21,42,146775,24282,101724,true
aman-aplan,3,14,2405681973,x|r[^u]r|^t|^[i-n]|ah|gd|\br|[a-d]$,x|r[^u]r|^t|[i-n]|ah|gd|\br|[a-d]$,15,36,475946,93380,118600,true
triples,3,1,6370951248,[^]5[1-5][0-7]|[0-6]0[0-6]1|$,.5[1-5][0-7]|[0-6]0[0-6]1|$,11,32,125517,23141,148867,true
anchors,3,19,6087432195,p^k|o$,p^k|o$,21,42,405058,72473,105725,true
aman-aplan,3,15,2738495106,x|^r|^t|^k|v|d|[no]o[o-t]|ah,x|^r|t|k|v|d|[no]o[o-t]|ah,15,36,569909,109757,120553,true
triples,3,2,9431657082,900|8^5|[4-7]75|4\w[0-4]|0[0-7]9?[2-5]*$,900|8^5|[4-7]75|4\w[0-4]|0[0-7]9?[2-5]*$,15,36,231999,49674,123897,true
anchors,3,20,4925731068,k$,k$,21,42,107732,18235,98098,true
aman-aplan,3,16,1069782534,x|^r|^t|^[h-k]|v|d,x|^r|t|[h-k]|v|d,12,33,94750,16063,110834,true
anchors,3,21,3486027915,k$,k$,21,42,127738,20704,96787,true
triples,3,3,1874029365,60|^3|4[^2]2|6\b|[345]5|[3-9]7[456]$,60|^3|4[^2]2|6\b|[345]5|[3-9]7[456]$,14,35,74676,14735,133506,true
aman-aplan,3,17,3018795246,x|^r|^t|^[i-n]|cxi^|[a-d]$,x|^r|t|[i-n]|cxi^|[a-d]$,14,35,542681,98115,112772,true
anchors,3,22,6941372580,k$,k$,21,42,424782,72957,104443,true
triples,3,4,5691784320,[^]5[0-7][0-8]|00[2-9]|[01]2,.5[0-7][0-8]|00[2-9]|[01]2,14,35,34092,6578,132976,true
anchors,3,23,1068243795,k$,k$,21,42,25244,4469,97380,true
aman-aplan,3,18,1736058429,^[h-k]|v|d|\b[n-t][e-o]b|[n-x][e-o][n-t]$,^[h-k]|v|d|\b[n-t][e-o]b|[n-x][e-o][n-t]$,15,36,331534,60379,119178,true
triples,3,5,8392760514,5[0-7][0-8]|0[012],5[0-7][0-8]|0[012],11,32,553348,103459,111850,true
anchors,3,24,1764028593,k$,k$,21,42,13783,2782,98912,true
aman-aplan,3,19,6087432195,[g-r][^g]l|^t|^[i-n]|x|t*^r|[a-d]$,[g-r][^g]l|^t|[i-n]|x|t*^r|[a-d]$,16,37,521423,98520,121099,true
triples,3,6,4612780539,[0-8][2-9]5[^]|2^5|0[012],[0-8][2-9]5[^]|2^5|0[012],12,33,391935,78692,118803,true
anchors,3,25,3857069214,k$,k$,21,42,212538,35267,97865,true
aman-aplan,3,20,4925731068,^[h-k]|v|d|\b[n-t][e-o],^[h-k]|v|d|\b[n-t][e-o],13,34,458190,80394,104770,true
triples,3,7,8261384957,[1-9][12]4|4[^3]2|744|4$|\B(7|^0|5|[01])\1,[1-9][12]4|4[^3]2|744|4$|\B(7|^0|5|[01])\#,15,36,560375,110208,121146,true
anchors,3,26,9125784630,k$,k{0}$,21,42,557845,91614,98240,true
aman-aplan,3,21,3486027915,[^]be|^r|^[h-k]|[vwx][e-l]|d,.be|^r|[h-k]|[vwx][e-l]|d,11,32,446416,81333,114772,true
powers,1,29,7965023841,^x?x$,^x?x$,2,13,361168,3166617,3246495,true
anchors,3,27,7914823056,bk|h$,bk|h$,21,42,355391,58096,102583,true
triples,3,8,2463075891,[^0]14|1^4[45][45]2|2[234][2-7]|009|43|[0-8][0-7][0-6]$,[^0]14|1^4[45][45]2|2[234][2-7]|009|43|[0-8][0-7][0-6]$,12,33,565053,119163,133539,true
aman-aplan,3,22,6941372580,^t|^m|^k|[vwx][de][e-t]|oo|\br|[a-d]$,^t|^m|^k|[vwx][de][e-t]|oo|\br|[a-d]$,17,38,256152,47393,117708,true
anchors,3,28,1258360497,^k|n$,^k|n$,21,42,111282,18782,98568,true
triples,3,9,9135874206,[^67]86|0[012][2-9]|^4[0-4]|[0-3]7|00$,[^67]86|0[012][2-9]|^4[0-4]|[0-3]7|00$,14,35,266353,52846,111458,true
aman-aplan,3,23,1068243795,x|^t|^[i-n]|l[l-r]|\br|[a-d]$,x|^t|^[i-n]|l[l-r]|\br|[a-d]$,16,37,154124,27017,110444,true
anchors,3,29,7965023841,k$,k$,21,42,254834,42205,97147,true
triples,3,10,7095231486,[^5](0[012][2-9]|4[3-8][2-6])|5[2-5]\1,[^5](0[012][2-9]|4[3-8][2-6])|5[2-5]\#,14,35,132486,24813,122522,true
aman-aplan,3,24,1764028593,^t|^[i-m]|oo|se|^r|nf|[a-d]$,^t|[i-m]|oo|se|^r|nf|[a-d]$,16,37,567988,100302,111334,true
anchors,5,1,4105328976,t^k|d$,t^k|d$,21,42,65336,11391,96240,true
powers,3,1,4105328976,^x?x$,^x?x$,2,13,214706,97318,352096,true
triples,3,11,9842301657,4\w[0-4]|6[3-6]|[0-7][0-7][2-6]$,4\w[0-4]|6[3-6]|[0-7][0-7][2-6]$,13,34,32963,6313,115116,true
anchors,5,1,6370951248,k$,k$,21,42,84784,15220,98287,true
aman-aplan,3,25,3857069214,h[^]hx|^[i-n]|ah|\b[rst][e-o]|[a-d]$,h.hx|^[i-n]|ah|\b[rst][e-o]|[a-d]$,16,37,551405,101943,118569,true
triples,3,12,2196735084,[^2][3-9]5|0[012]|3[567]3,[^2][3-9]5|0[012]|3[567]3,13,34,94210,17251,104428,true
anchors,5,2,9431657082,k$,k$,21,42,461779,74270,96490,true
aman-aplan,3,26,9125784630,[e-n][^c]o|x|v|d|^r|^t|^[h-k],[e-n][^c]o|x|v|d|^r|t|[h-k],14,35,446241,78927,111632,true
anchors,5,3,1874029365,u[s-w]k[c-l][c-l]M|k$,u[s-w]k[c-l][c-l]M|k$,21,42,65364,11391,102974,true
triples,3,13,9067852413,7888|[01]0[2-9]|2[34]|5[1-7][0-8]|0[012]$,7888|[01]0[2-9]|2[34]|5[1-7][0-8]|0[012]$,14,35,318121,59612,114834,true
powers,3,1,6370951248,^xx?$,^xx?$,2,13,429589,227542,296264,true
aman-aplan,3,27,7914823056,[rs]v|e|oo|d|a[h-k],[rs]v|e|oo|d|a[h-k],12,33,170290,29642,153289,true
anchors,5,4,5691784320,oK[^m]|[ijk]$,oK[^m]|[ijk]$,21,42,556335,98161,106395,true
triples,3,14,2405681973,0[^5][2-6]$|32|24|[0-3]9|[56][3-6]|2$,0[^5][2-6]$|32|24|[0-3]9|[56][3-6]|2$,14,35,110624,23767,134726,true
aman-aplan,3,28,1258360497,\br|^[e-k]|v|d|[e-r][st]$,\br|^[e-k]|v|d|[e-r][st]$,13,34,165445,28189,102896,true
anchors,5,5,8392760514,^i[a-e]|k$,^i[a-e]|k$,21,42,234633,38643,96834,true
triples,3,15,2738495106,^[01]+[2-6]|9[01]5|[01]2|[0-3]7,^[01]+[2-6]|9[01]5|[01]2|[0-3]7,13,34,87391,16813,125897,true
aman-aplan,3,29,7965023841,^[i-n]|^t|^r|o[i-n]o|dbar|x|[a-d]$,^[i-n]|t|r|o[i-n]o|dbar|x|[a-d]$,15,36,509888,92098,110193,true
anchors,5,6,4612780539,vk|M$,vk|M$,21,42,24191,4656,98364,true
aman-aplan,5,1,4105328976,x|^r|^t|^[h-k]|v|d,x|^r|t|[h-k]|v|d,12,33,389676,71145,109662,true
anchors,5,7,8261384957,edk|k$,edk|k$,21,42,18504,3609,105021,true
triples,3,16,1069782534,[3-6]6|54|2[34]|[0-8][0-7][2-6]$,[3-6]6|54|2[34]|[0-8][0-7][2-6]$,13,34,140937,28580,148664,true
anchors,5,8,2463075891,k$,k$,21,42,515100,80817,93943,true
aman-aplan,5,1,6370951248,x|^[i-n]|\bt|\br|[a-d]$,x|^[i-n]|\bt|\br|[a-d]$,14,35,378966,67864,105865,true
triples,3,17,3018795246,0[012]|\B5[0-7][0-8],0[012]|\B5[0-7][0-8],12,33,568360,104709,111850,true
powers,3,2,9431657082,^xxxx$|\bx?x$,^xxxx$|\bx?x$,3,14,360055,530510,604748,true
anchors,5,9,9135874206,tdd^k|$,tdd^k|$,21,42,19922,3859,98662,true
aman-aplan,5,2,9431657082,x|^r|^t|^[i-n]|d[^]u|l[l-r]|[a-d]$,x|^r|^t|^[i-n]|d[^]u|l[l-r]|[a-d]$,16,37,493816,94880,116834,true
triples,3,18,1736058429,60|[012]7|2$|9$|6$|3[0-9][0-7],60|[012]7|2|9|6$|3[0-9][0-7],12,33,52297,10547,113335,true
anchors,5,10,7095231486,k$,k$,21,42,515852,87552,101380,true
aman-aplan,5,3,1874029365,[^]x|^r|^t|^[h-k]|v|d|hdc,.x|^r|t|[h-k]|v|d|hdc,12,33,166916,29829,119272,true
triples,3,19,6087432195,^81|[1-8][4-7][34][0-7]|47$|[01]0,^81|[1-8][4-7][34][0-7]|47$|[01]0,14,35,379184,75067,120272,true
anchors,5,11,9842301657,[^]gek|k$,.gek|k$,21,42,23151,4469,111678,true
aman-aplan,5,4,5691784320,x|^t|^[i-n]|^r|[a-d]\b|[ab]h$,x|^t|[i-n]|^r|[a-d]\b|[ab]h$,15,36,539584,97880,112178,true
triples,3,20,4925731068,^[2-7]1|4[789][2-6]|([0-7])\1[3-9],^[2-7]1|4[789][2-6]|([0-7])\1[3-9],13,34,122587,22516,118209,true
anchors,5,12,2196735084,tk|g$,tk|g$,21,42,238946,39955,105271,true
aman-aplan,5,5,8392760514,^[i-n]|^[rst][e-o]|p[e-r]ld|[a-d]$,^[i-n]|[rst][e-o]|p[e-r]ld|[a-d]$,15,36,429126,72458,103959,true
powers,3,3,1874029365,(^[^]*)\1$,(^[^]*)\1$,6,17,162885,134148,403300,true
triples,3,21,3486027915,2[^0][34]|[789][0-9][0-8][567]\B|0[012][2-9]?$,2[^0][34]|[789][0-9][0-8][567]\B|0[012][2-9]?$,15,36,361639,69239,137961,true
anchors,5,13,9067852413,k$,k$,21,42,576168,94786,99474,true
aman-aplan,5,6,4612780539,x|v|p^tnxr|^r|d|^t|n|k$,x|v|p^tnxr|^r|d|^t|n|k$,11,32,127735,22798,114740,true
anchors,5,14,2405681973,hak|c$,hak|c$,21,42,259659,43611,98912,true
triples,3,22,6941372580,0[012]|4\w2|50|8$,0[012]|4\w2|50|8$,11,32,13894,3000,131443,true
aman-aplan,5,7,8261384957,[kl]a|^m|^cr|^[i-t][e-o]|[a-d]$,[kl]a|^m|^cr|^[i-t][e-o]|[a-d]$,16,37,205862,37251,109100,true
anchors,5,15,2738495106,pa[^]a^k|k$,pa.a{0}^k|k$,21,42,318852,55705,99693,true
powers,3,4,5691784320,(^x*)\1xxxx$,(^x*)\#xxxx$,5,16,431549,156617,228823,true
triples,3,23,1068243795,^39|0[012]|43|[0-3]7|55|5[67]2$,^39|0[012]|43|[0-3]7|55|5[67]2$,13,34,442646,87239,122412,true
aman-aplan,5,8,2463075891,x|^r|^t|^[i-n]|a(^k[^o]|o)\1v|[a-d]$,x|^r|^t|^[i-n]|a(^k[^o]|o)\1v|[a-d]$,14,35,431395,92224,129007,true
anchors,5,16,1069782534,k$,k$,21,42,213017,36267,106239,true
triples,3,24,1764028593,0[012]|5[1-7][0-8],0[012]|5[1-7][0-8],11,32,84792,14985,139882,true
anchors,5,17,3018795246,k$,k$,21,42,589223,98521,100302,true
aman-aplan,5,9,9135874206,x|^r|^t|^[i-n]|l^kgr|[a-d]$,x|^r|^t|^[i-n]|l^kgr|[a-d]$,14,35,145774,25720,115897,true
triples,3,25,3857069214,8^20|750|09$|66|4\w[0-4]|[0-7][0-7][2-6]$,8^20|750|09$|66|4\w[0-4]|[0-7][0-7][2-6]$,14,35,387106,74770,119834,true
anchors,5,18,1736058429,l[a-e]M|k$,l[a-e]M|k$,21,42,606115,106021,106021,true
aman-aplan,5,10,7095231486,x|^r|^t|^[h-k]|v|d|mc,x|^r|t|[h-k]|v|d|mc,12,33,111566,19188,112161,true
anchors,5,19,6087432195,l^Rk|s$,l^Rk|s$,21,42,1209,640,111022,true
triples,3,26,9125784630,[^6]2\w*9|^0|[1-8][4-7][34][0-7],[^6]2\w*9|^0|[1-8][4-7][34][0-7],13,34,178290,31502,140539,true
aman-aplan,5,11,9842301657,[^]x|v|bblr|^r|d|^t|n|k$,.x|v|bblr|^r|d|^t|n|k$,11,32,127811,23407,120663,true
powers,3,5,8392760514,^x?x$,^x?x$,2,13,277337,197635,449600,true
anchors,5,20,4925731068,nq^k|w$,nq^k|w$,21,42,178559,31564,99006,true
aman-aplan,5,12,2196735084,x|\b[n-t][e-o]|v|d|k[e-o],x|\b[n-t][e-o]|v|d|k[e-o],13,34,378761,68973,108162,true
triples,3,27,7914823056,^0*6|[^07][0-6]7|[12]4\B|^3[789]|8[4-7]3|\B$,^0*6|[^07][0-6]7|[12]4\B|3[789]|8[4-7]3|\B$,15,36,336379,74911,130445,true
anchors,5,21,3486027915,k$,k$,21,42,266289,45830,99145,true
aman-aplan,5,13,9067852413,hl|u[^t]h|xx|^[rst][e-o]|^[i-n]|[a-d]$,hl|u[^t]h|xx|^[rst][e-o]|^[i-n]|[a-d]$,16,37,273200,50565,117194,true
triples,3,28,1258360497,0[012]|5[1-7][0-8],0[012]|5[1-7][0-8],11,32,400105,73380,107694,true
anchors,5,22,6941372580,^k$|k$,^k$|k$,21,42,386690,69379,105803,true
aman-aplan,5,14,2405681973,x|^t|^[i-n]|ah|ad|\br|[a-d]$,x|^t|[i-n]|ah|ad|\br|[a-d]$,15,36,334267,63426,119163,true
triples,3,29,7965023841,[^0]94|1[234]\w[0-4]|8[0-7]4|[0-7][0-7][0-6]$,[^0]94|1[234]\w[0-4]|8[0-7]4|[0-7][0-7][0-6]$,12,33,417207,79224,119975,true
anchors,5,23,1068243795,k$,k$,21,42,13761,2859,105583,true
aman-aplan,5,15,2738495106,v|^r|^[e-k]|d|[^]y^|e[t-x],v|^r|[e-k]|d|.y^|e[t-x],11,32,298712,50956,106350,true
triples,5,1,4105328976,2[^]9|^81|00|17|2[234]|6$,2[^]9|^81|00|17|2[234]|6$,12,33,489666,98099,124584,true
anchors,5,24,1764028593,gk|e$,gk|e$,21,42,869,578,99380,true
powers,3,6,4612780539,^x?x$,^x?x$,2,13,476304,458927,547089,true
aman-aplan,5,16,1069782534,x|^r|^[i-n]|[n-r]l|[^s]t$|[a-d]$,x|^r|^[i-n]|[n-r]l|[^s]t|[a-d]$,15,36,251317,44611,112053,true
triples,5,1,6370951248,30|9[01]|^0|[1-8][1-7][34],30|9[01]|^0|[1-8][1-7][34],12,33,477256,85817,106990,true
anchors,5,25,3857069214,rwk|a$,rwk|a$,21,42,1212,687,106068,true
aman-aplan,5,17,3018795246,[^n](k|v|d)|^[e-t]e|l[l-r][a-o]\1,[^n](k|v|d)|^[e-t]e|l[l-r][a-o]\#,14,35,210553,38173,125788,true
anchors,5,26,9125784630,^sck|r$,^sck|r$,21,42,1211,672,98209,true
triples,5,2,9431657082,0[012]|[1-9]5[0-8][0-7],0[012]|[1-9]5[0-8][0-7],13,34,67102,11532,108615,true
anchors,5,27,7914823056,gk|R$,gk|R$,21,42,587302,97646,99537,true
aman-aplan,5,18,1736058429,x|^r|^t|^[h-k]|v|d,x|^r|t|[h-k]|v|d,12,33,305127,53721,107865,true
triples,5,3,1874029365,6$|4[^3]2|00|9[01][2-5]\B|[34][0-7][2-7][3-7],6$|4[^3]2|00|9[01][2-5]\B|[34][0-7][2-7][3-7],16,37,257479,51127,122053,true
anchors,5,28,1258360497,h^sdk|r$,h^sdk|r$,21,42,559946,95426,103161,true
aman-aplan,5,19,6087432195,x|^r|^t|^[i-n]|a^pr|[a-d]$,x|^r|^t|^[i-n]|a^pr|[a-d]$,14,35,145754,26173,113991,true
triples,5,4,5691784320,^87|42[^7]|00|[1-5][1-8][3-9][0-5][0-8][2-9]*$,^87|42[^7]|00|[1-5][1-8][3-9][0-5][0-8][2-9]*$,15,36,494475,115647,148960,true
anchors,5,29,7965023841,k$,k$,21,42,567578,89802,95990,true
powers,3,7,8261384957,(^x*)\1$,(^x*)\1$,6,17,286785,290545,470569,true
aman-aplan,5,20,4925731068,[^]x|^r|^t|^[h-k]|v|d|o[no][e-r],.x|^r|t|[h-k]|v|d|o[no][e-r],14,35,289995,51409,105225,true
triples,5,5,8392760514,^44|0[012]|5[3-8],^44|0[012]|5[3-8],11,32,63835,11750,119693,true
ranges,1,1,4105328976,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,98602,22641,116194,true
aman-aplan,5,21,3486027915,u[^f]d|oe|[a-e]$|^[h-t][a-o],u[^f]d|o{0}e|[a-e]$|^[h-t][a-o],14,35,264521,47268,115333,true
triples,5,6,4612780539,^[2-9][0-4][2-9][2-5]|00|[0-3]4|7+$,^[2-9][0-4][2-9][2-5]|00|[0-3]4|7+$,14,35,575199,108177,113614,true
ranges,1,1,6370951248,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,54241,10985,114179,true
powers,3,8,2463075891,^x(x*?)\1x$,^x(x*?)\1x$,6,17,294588,131366,227496,true
aman-aplan,5,22,6941372580,oa^a|m[h-k]|s[^a]x|^r|^t|oo|v|d,oa^a|m[h-k]|s[^a]x|^r|t|oo|v|d,15,36,482008,86474,109818,true
triples,5,7,8261384957,^3|6[^]9|957|1*\B[1-5][345][1-8]|2[34]|6$,^3|6[^]9|957|1*\B[1-5][345][1-8]|2[34]|6$,14,35,390833,85771,123429,true
aman-aplan,5,23,1068243795,d$|o^e|[k-x][a-o][a-t]$,d|o^e|[k-x][a-o][a-t]$,15,36,294635,50377,107646,true
ranges,1,2,9431657082,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,544393,118553,128662,true
triples,5,8,2463075891,87$|[01]0|02|1^75|\B5[1-7][0-8],87$|[01]0|02|1^75|\B5[1-7][0-8],13,34,545026,108459,121303,true
aman-aplan,5,24,1764028593,x|^r|^t|^[i-n]|[a-d]$,x|^r|^t|^[i-n]|[a-d]$,14,35,222924,37314,104834,true
ranges,1,3,1874029365,^[a-f]*[a-f]$,^[a-f]*[a-f]$,21,42,107740,18735,110475,true
powers,3,9,9135874206,^xx(x*)\1$,^xx(x*)\1$,6,17,413498,203587,312124,true
triples,5,9,9135874206,^0|[012]7|2\w9|[12][34],^0|[012]7|2\w9|[12][34],11,32,108552,19563,118428,true
aman-aplan,5,25,3857069214,[^]x|ol|^r|^t|^[i-n]|hal|[a-d]$,.x|ol|^r|t|[i-n]|hal|[a-d]$,16,37,442973,80833,114600,true
ranges,1,4,5691784320,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,225786,39533,117381,true
triples,5,10,7095231486,[^9]36|^[3-9]\w[0-8][2-7][1-8]|6[0-5]*$,[^9]36|^[3-9]\w[0-8][2-7][1-8]|6[0-5]*$,13,34,578602,113990,119491,true
ranges,1,5,8392760514,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,287232,51237,112412,true
aman-aplan,5,26,9125784630,^[i-n]x||^r|[a-d]$,^[i-n]x||r|[a-d]$,12,33,137598,24329,148242,true
ranges,1,6,4612780539,^[a-f]*[a-f]$,^[a-f]*[a-f]$,21,42,316097,56080,105865,true
triples,5,11,9842301657,[34][^39][2-5]|[01]0[2-9]|[01]2$,[34][^3-9][2-5]|[01]0[2-9]|[01]2$,14,35,536370,117210,131459,true
aman-aplan,5,27,7914823056,x|^t|^[i-n]|\br|[a-d]$,x|^t|[i-n]|\br|[a-d]$,14,35,528429,102099,114194,true
powers,3,10,7095231486,^x$|^xx(x*?)\1$,{0}^x$|^xx(x*?)\1$,7,18,434859,245090,303890,true
ranges,1,7,8261384957,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,344422,68909,111286,true
aman-aplan,5,28,1258360497,[^]x|v|d|^r|^t|^[h-k],.x|v|d|^r|t|[h-k],12,33,447556,77348,106834,true
triples,5,12,2196735084,0[012]|[^2]5[1-7][0-8],0[012]|[^2]5[1-7][0-8],12,33,289224,55206,146055,true
ranges,1,8,2463075891,^\w[a-f]*$,{0}^\w[a-f]*$,21,42,510334,95036,112068,true
aman-aplan,5,29,7965023841,^[^m]e|[a-o][k-v]\w[a-t]$,^[^m]e|[a-o][k-v]\w[a-t]$,15,36,548936,106286,117286,true
triples,5,13,9067852413,^[0-4](\w|)0|[2-9][456][345],^[0-4](\w|)0|[2-9][456][345],12,33,155406,28485,144928,true
ranges,1,9,9135874206,[a-f][a-e]\w[a-f],[a-f][a-e]\w[a-f],21,42,473302,89411,111756,true
prime,1,1,4105328976,^xxx(x*?)\1$,^x{0}xx(x*?)\1$,13,34,561369,131929,139367,true
triples,5,14,2405681973,23|2^|0[012]|289|4$|5[0-6][0-8],23|2^|0[012]|289|4$|5[0-6][0-8],12,33,277318,61971,122599,true
ranges,1,10,7095231486,[a-f][a-f]\w[a-f]$,[a-f][a-f]\w[a-f]$,21,42,244622,48955,129710,true
prime,1,1,6370951248,x*^x(x*)?\1xx$,x*^x(x*)?\1xx$,13,34,66779,15172,121037,true
triples,5,15,2738495106,^0|2[34]|9[01]|[0-3]7,{0}^0|2[34]|9[01]|[0-3]7,12,33,69201,12891,114256,true
powers,3,11,9842301657,^xx?$,^xx?$,2,13,379413,444115,529838,true
ranges,1,11,9842301657,[a-f][a-e]\w[a-f],[a-f][a-e]\w[a-f],21,42,249218,43517,111942,true
triples,5,16,1069782534,[01]0|[345][1-9][2-6][0-7]|7[45]\b,[01]0|[345][1-9][2-6][0-7]|7[45]\b,13,34,503522,100193,118647,true
prime,1,2,9431657082,x*^x(([^]x)*?\1x)?x\2?$,x*{0}^x(([^]x)*?\1x)?x\2?$,14,35,121817,31236,152258,true
ranges,1,12,2196735084,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,140018,26485,116646,true
triples,5,17,3018795246,95|25^1|[0-3]7|0[012]|[3-6]5|[01]$,95|25^1|[0-3]7|0[012]|[3-6]5|[01]$,13,34,424987,84738,126647,true
prime,1,3,1874029365,(^x*x?)\1xxx$,{0}(^x*x?)\#xxx$,13,34,50636,10625,121038,true
ranges,1,13,9067852413,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,230352,48440,119850,true
prime,1,4,5691784320,^x([^]x)*xx$,^x(.x)*xx$,13,34,562334,107037,114006,true
triples,5,18,1736058429,^\w4|[234][1-4][^6][0-7]|[0-6]0[0-6][2-5]*$,^\w4|[234][1-4][^6][0-7]|[0-6]0[0-6][2-5]*$,14,35,208638,40549,127085,true
ranges,1,14,2405681973,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,178720,34783,121459,true
powers,3,12,2196735084,^xx(x*|$)\1\b,^xx(x*|$)\#\b,6,17,287942,281826,419801,true
prime,1,5,8392760514,^x?xx$,^x?xx$,2,23,454156,91458,120069,true
triples,5,19,6087432195,^[2-7]1|4[789][2-6]|([0-7])\1[3-9],^[2-7]1|4[789][2-6]|([0-7])\1[3-9],13,34,148155,27517,120366,true
ranges,1,15,2738495106,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,165149,30345,116991,true
triples,5,20,4925731068,[^]5[0-7][0-8]|0[012],.5[0-7][0-8]|0[012],12,33,20402,4078,107053,true
ranges,1,16,1069782534,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,14331,2985,106912,true
prime,1,6,4612780539,(x)*^x?(x|\Bxx*)\2\b$,(x)*^x?(x|\Bxx*)\2\b$,14,35,574272,147241,161851,true
triples,5,21,3486027915,^3|730|4[2-8][2-6]|([0-7])\1[3-9],^3|730|4[2-8][2-6]|([0-7])\1[3-9],13,34,94632,18251,126319,true
ranges,1,17,3018795246,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,320092,65144,116569,true
prime,1,7,8261384957,^x(x*?)\1xx$,^x(x*?)\1xx$,13,34,162934,37298,128397,true
powers,3,13,9067852413,^xx(x*)\1\b|\bxx?$\1,^xx(x*)\1\b|\bxx?$\#,7,18,181365,66457,393315,true
triples,5,22,6941372580,49^6|[567][45]|2[234]|[01]0[2-9]|0[012]$,49^6|[567][45]|2[234]|[01]0[2-9]|0[012]$,14,35,364260,76035,121755,true
ranges,1,18,1736058429,^[a-f]*[a-f]$,^[a-f]*[a-f]$,21,42,474438,95535,120927,true
